,role,pname
225,1,Glenn+Maxwell
226,1,Abhishek+Nayar
227,1,Laxmi+Ratan+Shukla
228,1,Andre+Russell
229,0,Varun+Aaron
230,0,Parvinder+Awana
231,0,Nathan+Coulter-Nile
232,0,Ashish+Nehra
233,0,Mohit+Sharma
234,0,Jaydev+Unadkat
235,0,Samuel+Badree
236,0,Chris+Lynn
237,1,Yalaka+Venugopal+Rao
238,1,John+Hastings
239,1,James+Neesham
240,1,Ben+Cutting
241,0,Josh+Hazlewood
242,0,Ben+Hilfenhaus
243,1,Jason+Holder
244,0,Kane+Richardson
245,0,Tim+Southee
246,0,Patrick+Cummins
247,0,Wayne+Parnell
248,0,Marchant+de+Lange
249,0,Krishmar+Santokie
250,0,Matt+Henry[LAT]
251,0,Mayank+Agarwal
252,1,Srikkanth+Anirudha
253,1,Baba+Aparajith
254,1,Unmukt+Chand
255,0,Kedar+Jadhav
256,1,Gurkeerat+Singh
257,1,Manish+Pandey
258,1,KL+Rahul
259,0,Suryakumar+Yadav
260,1,Ankush+Bains
261,0,Manvinder+Bisla
262,1,Ben+Dunk
263,0,CM+Gautam
264,0,Sushant+Marathe
265,0,Aditya+Tare
266,1,Iqbal+Abdullah
267,1,Rajat+Bhatia
268,1,Kevon+Cooper
269,1,Rishi+Dhawan
270,1,Mithun+Manhas
271,1,Parvez+Rasool
272,1,Mandeep+Singh
273,1,Ryan+Ten+Doeschate
274,0,Abu+Nechim+Ahmed
275,0,Jasprit+Bumrah
276,0,Siddarth+Kaul
277,0,Dhawal+Kulkarni
278,0,Ishwar+Pandey
279,0,Sandeep+Sharma
280,0,Anureet+Singh
281,1,Shreyas+Gopal
282,0,Shadab+Jakati
283,0,Shahbaz+Nadeem
284,0,Pawan+Negi
285,0,Karn+Sharma
286,0,Yuzvendra+Chahal
287,0,Kuldeep+Yadav
288,0,Pravin+Tambe
289,1,Karun+Nair
290,1,Amit+Paunikar
291,0,Dishant+Yagnik
292,1,Akshar+Patel
293,0,Beuran+Hendricks
294,0,Vikramjeet+Malik
295,0,Harshal+Patel
296,1,Ashish+Reddy
297,0,Pawan+Suyal
298,0,Ankit+Nagendra+Sharma
299,1,Ricky+Bhui
300,0,Jayant+Yadav
301,0,Amit+Mishra
302,0,Sachin+Rana
303,1,Deepak+Hooda[LAT]
304,0,Chama+Milind
305,0,Shardul+Thakur
306,1,Tanmay+Mishra
307,1,Michael+Hussey
308,1,Irfan+Pathan
309,0,Rahul+Sharma
310,0,Kyle+Abbott
311,0,Andrew+Tye
312,0,Pratyush+Singh
313,1,Ankush+Bains
314,0,Eklavya+Dwivedi
315,1,Yuvraj+Singh
316,1,Angelo+Mathews
317,0,Zaheer+Khan
318,0,Amit+Mishra
319,1,Shreyas+Iyer
320,0,Gurinder+Sandhu
321,0,Jaydev+Unadkat
322,1,Albie+Morkel
323,1,Marcus+Stoinis
324,0,CM+Gautam
325,0,KK+Jiyas
326,1,Murali+Vijay
327,1,Nikhil+Naik
328,0,KC+Cariappa
329,1,James+Neesham
330,1,Brad+Hogg
331,1,Sheldon+Jackson
332,1,Sumit+Narwal
333,1,Aaron+Finch
334,0,Pragyan+Ojha
335,0,Abhimanyu+Mithun
336,0,Mitchell+McClenaghan
337,0,Aiden+Blizzard
338,1,Hardik+Pandya
339,0,Akshay+Wakhare
340,1,Nitish+Rana
341,1,Siddhesh+Lad
342,0,Jagadeesha+Suchith
343,1,Chris+Morris
344,0,Rusty+Theron
345,0,Brainder+Sran
346,0,Dinesh+Salunkhe
347,1,Pardeep+Sahu
348,1,Dinesh+Karthik
349,1,Darren+Sammy
350,1,David+Wiese
351,0,Sean+Abbott
352,0,Adam+Milne
353,1,Sarfaraz+Khan
354,1,Subramaniam+Badrinath
355,0,Trent+Boult
356,0,Praveen+Kumar
357,1,Kevin+Pietersen
358,1,Eoin+Morgan
359,1,Ravi+Bopara
360,1,Kane+Williamson
361,1,Laxmi+Ratan+Shukla
362,0,Siddarth+Kaul
363,1,Kevin+Pietersen
364,1,Dwayne+Smith
365,0,Ishant+Sharma
366,1,Shane+Watson
367,0,Ashish+Nehra
368,1,Yuvraj+Singh
369,0,Dale+Steyn
370,1,Sanju+Samson
371,1,Jos+Buttler
372,1,Dinesh+Karthik
373,1,Irfan+Pathan
374,1,Chris+Morris
375,1,Colin+Munro
376,1,Stuart+Binny
377,1,Mitchell+Marsh
378,0,Dhawal+Kulkarni
379,1,John+Hastings
380,0,Praveen+Kumar
381,0,Tim+Southee
382,0,Mohit+Sharma
383,1,Carlos+Brathwaite
384,1,Marcus+Stoinis
385,0,Mustafizur+Rahman
386,0,Jaydev+Unadkat
387,0,Kyle+Abbott
388,0,Barinder+Sran
389,0,Abhimanyu+Mithun
390,1,Travis+Head
391,0,Sachin+Baby
392,1,Karun+Nair
393,0,Paras+Dogra
394,1,Rishabh+Pant
395,0,Eklavya+Dwivedi
396,0,Aditya+Tare
397,1,Iqbal+Abdulla
398,1,Deepak+Hooda
399,0,Ankit+Sharma
400,0,Pawan+Negi
401,1,Rajat+Bhatia
402,0,Pradeep+Sangwan
403,0,Nathu+Singh
404,0,Ishwar+Pandey
405,0,Ankit+Rajpoot
406,0,Pravin+Tambe
407,0,Shivil+Kaushik
408,0,Sarabjit+Ladda
409,0,Murugan+Ashwin
410,0,KC+Cariappa
411,1,Aaron+Finch
412,1,Sam+Billings
413,0,Tirumalasetti+Suman
414,1,Ankush+Bains
415,1,Umang+Sharma
416,1,Peter+Handscomb
417,1,Jitesh+Sharma
418,1,Armaan+Jaffer
419,1,Jason+Holder
420,1,Thisara+Perera
421,1,Ben+Cutting
422,0,Andrew+Tye
423,0,Praveen+Dubey
424,1,Rajagopal+Sathish
425,1,Vijay+Shankar
426,0,Shadab+Jakati
427,0,Akshay+Karnewar
428,1,Akshdeep+Nath
429,1,Manan+Sharma
430,1,Baba+Aparajith
431,0,Deepak+Chahar
432,1,Kishore+Kamath
433,1,Pardeep+Sahu
434,1,Krunal+Pandya
435,0,Deepak+Punia
436,0,Swapnil+Singh
437,0,Khaleel+Ahmed
438,0,Jaydev+Shah
439,0,Pratyush+Singh
440,0,Ashok+Dinda
441,0,Kane+Richardson
442,0,Samuel+Badree
443,0,Joel+Paris
444,0,Scott+Boland
445,0,Vikramjeet+Malik
446,0,Pawan+Suyal
447,0,Adam+Zampa
448,0,Amit+Mishra
449,0,Jaskaran+Singh
450,0,Chama+Milind
451,0,Vikas+Tokas
452,1,Farhaan+Behardien
453,1,Akhil+Herwadkar
454,1,Mahipal+Lomror
