,pname,role
216,R. Sai+Kishore,0
217,Shakti+Malviya,0
218,Rahil S.+Shah,0
219,Muhammad Yasir+Arafat,1
220,Anton+Devcich,1
221,Rayad+Emrit,1
222,Colin De+Grandhomme,1
223,Jeevan+Mendis,1
224,Andile+Phehlukwayo,1
225,Seekkuge+Prasanna,1
226,Dwaine+Pretorius,1
227,Jesse+Ryder,1
228,Joginder+Sharma,1
229,Taskin+Ahmed,0
230,Dushmantha+Chameera,0
231,Sheldon+Cottrell,0
232,Miguel+Cummins,0
233,Krishmar+Santokie,0
234,Jerome+Taylor,0
235,Ben+Wheeler,0
236,Kesrick+Williams,0
237,Ankit+Lamba,1
238,Amit+Pachhara,1
239,Sarthak+Ranjan,1
240,Alex+Ross,1
241,Jonty+Sidhu,1
242,Tajendra+Singh,1
243,Virat+Singh,1
244,Chirag+Suri,1
245,Rassie+van der Dussen,1
246,Shamsher+Yadav,1
247,Fabid Farook+Ahmed,1
248,Subodh+Bhati,1
249,Shivam+Chauhan,1
250,Ritwik+Chowdhury,1
251,Tom+Cooper,1
252,Puneet+Datey,1
253,Jamaluddin Syed+Mohammad,1
254,Sumit+Narwal,1
255,Shivam+Sharma,1
256,Gade Hanuma+Vihari,1
257,Ajay+Ahlawat,0
258,Manjeet Kumar+Chaudhary,0
259,Ishwar+Chaudhary,0
260,Stephen+Cheepurapalli,0
261,A. Aswin+Crist,0
262,Deepak+Dalal,0
263,Pritam+Das,0
264,Nikit+Dhumal,0
265,M. Ravi+Kiran,0
266,Prasidh+Krishna,0
267,Siddarth+Trivedi,0
268,Paidakalva+Vijay Kumar,0
269,Jonathan+Carter,1
270,Dhananjaya+De Silva,1
271,Thikshila+De Silva,1
272,Farveez+Maharoof,1
273,Nathan+McCullum,1
274,Mehedi Hasan+Miraz,1
275,Angelo+Perera,1
276,Shabbir+Rahman Roman,1
277,Dasun+Shanka,1
278,Mahmud+Ullah,1
279,Kuldeep+Hooda,1
280,B.+Indrajith,1
281,Dharmendrasinh+Jadeja,1
282,Anirudha Ashok+Joshi,1
283,Manisankar+Murasingh,1
284,Shubham+Ranjane,1
285,Raymon+Reifer,1
286,Atit+Sheth,1
287,Amitoze+Singh,1
288,Vishnu+Solanki,1
289,Shubham+Mavi,0
290,M.+Mohammed,0
291,Ponam+Ponia,0
292,Ananta+Saha,0
293,Chandrakant+Sakure,0
294,Anupam Amrut+Sanklecha,0
295,Shelley+Shaurya,0
296,Vikash+Singh,0
297,Baltej+Singh,0
298,Nishan+Singh,0
299,Pradeep+T.,0
300,Shubam+Agrawal,1
301,Khalid+Ahmad,1
302,Dafedar Khizar+Anwar,1
303,M. D Sarfaraz+Ashraf,1
304,Jaskarandeep Singh+Buttar,1
305,Vinod Kumar+C.V.,1
306,Shamar+Springer,1
307,M. S. Washington+Sundar,1
308,Amit+Verma,1
309,Jack+Wildermuth,1
310,Hiten+Dalal,1
311,Antony+Dhas,1
312,Saurabh+Dubey,1
313,Robbie+Frylinck,1
314,Vinay+Galetiya,1
315,M. Kaushik+Gandhi,1
316,Nikhil+Gangta,1
317,Arindam+Ghosh,1
318,Vijay Rajendra+Jethi,1
319,Christiaan+Jonker,1
320,Karan+Kaila,1
321,Ankit+Kaushik,1
322,Parth+Kohli,1
323,Dasari Swaroop+Kumar,1
324,Vishal+Kushwah,1
325,Prerak+Mankad,1
326,Ramesh+Mendis,1
327,Sanjay+Pahal,1
328,Kavish+Panchal,1
329,Diwesh+Pathania,1
330,Rohan+Prem,1
331,P Malinda+Pushpakumara,1
332,Sumit+Ruikar,1
333,Shaurya+Sanandia,1
334,Hardik+Sethi,1
335,Azhar+Shaikh,1
336,Dhruv+Shorey,1
337,Chandra Pal+Singh,1
338,Kaushal+Singh,1
339,Himmat+Singh,1
340,Nick+Buchanan,1
341,Writtick+Chatterjee,1
342,Chris+Green,1
343,Rituraj+Singh,1
344,Ankit+Soni,1
345,Varun+Sood,1
346,Ashton+Turner,1
347,Vysak+V.,1
348,Parikshit+Valsangkar,1
349,Suraj+Yadav,1
350,R. Sanjay+Yadav,1
