,team_name,player_name,ipl_team,base_price,buy_price
0,Australia,Mitchell Johnson,Kings XI Punjab,200,650
1,South Africa,Jacques Kallis,Kolkata Knight Riders,200,550
2,England,Kevin Pietersen,Delhi Daredevils,200,900
3,India,Virender Sehwag,Kings XI Punjab,200,320
4,India,Yuvraj Singh,Royal Challengers Bangalore,200,"1,400"
5,India,Murali Vijay,Delhi Daredevils,200,500
6,Australia,David Warner,Sunrisers Hyderabad,150,550
7,Australia,George Bailey,Kings XI Punjab,200,325
8,South Africa,Faf du Plessis,Chennai Super Kings,150,475
9,Australia,Michael Hussey,Mumbai Indians,200,500
10,India,Dinesh Karthik,Delhi Daredevils,200,"1,250"
11,India,Zaheer Khan,Mumbai Indians,100,260
12,New Zealand,Brendon McCullum,Chennai Super Kings,200,325
13,India,Amit Mishra,Sunrisers Hyderabad,200,475
14,West Indies Cricket Board,Darren Sammy,Sunrisers Hyderabad,100,350
15,South Africa,Jean-Paul Duminy,Delhi Daredevils,100,220
16,Australia,Aaron Finch,Sunrisers Hyderabad,100,400
17,Australia,Brad Hodge,Rajasthan Royals,200,240
18,Australia,Shaun Marsh,Kings XI Punjab,200,220
19,India,Cheteshwar Pujara,Kings XI Punjab,150,190
20,West Indies Cricket Board,Dwayne Smith,Chennai Super Kings,150,450
21,New Zealand,Ross Taylor,Delhi Daredevils,200,200
22,India,Manoj Tiwary,Delhi Daredevils,200,280
23,India,Robin Uthappa,Kolkata Knight Riders,200,500
24,South Africa,Quinton de Kock,Delhi Dardevils,100,350
25,India,Naman Ojha,Sunrisers Hyderabad,50,50
26,India,Parthiv Patel,Royal Challengers Bangalore,100,275
27,India,Wriddhiman Saha,Kings XI Punjab,100,220
28,Bangladesh,Shakib Al Hasan,Kolkata Knight Riders,100,280
29,South Africa,Albie Morkel,Royal Challengers Bangalore,150,240
30,India,Irfan Pathan,Sunrisers Hyderabad,150,240
31,India,Yusuf Pathan,Kolkata Knight Riders,200,325
32,Sri Lanka,Thisara Perera,Kings XI Punjab,50,160
33,Australia,Steven Smith,Rajasthan Royals,200,400
34,India,Ashok Dinda,Royal Challengers Bangalore,100,150
35,India,Bhuvneshwar Kumar,Sunrisers Hyderabad,150,425
36,South Africa,Morne Morkel,Kolkata Knight Riders,150,280
37,West Indies Cricket Board,Ravi Rampaul,Royal Challengers Bangalore,50,90
38,India,Mohammed Shami,Delhi Dardevils,100,425
39,India,Ishant Sharma,Sunrisers Hyderabad,150,425
40,Australia,Mitchell Starc,Royal Challengers Bangalore,200,500
41,India,Ranganath Vinay Kumar,Kolkata Knight Riders,150,280
42,India,Umesh Yadav,Kolkata Knight Riders,100,260
43,India,Piyush Chawla,Kolkata Knight Riders,50,425
44,India,Murali Kartik,Kings XI Punjab[REC],100,100
45,Sri Lanka,Muttiah Muralitharan,Royal Challengers Bangalore,100,100
46,India,Pragyan Ojha,Mumbai Indians [RTM],200,325
47,India,Rahul Sharma,Delhi Daredevils,50,190
48,Australia,Nic Maddinson,Royal Challengers Bangalore,50,50
49,India,Saurabh Tiwary,Delhi Daredevils,50,70
50,Zimbabwe,Brendan Taylor,Sunrisers Hyderabad,30,30
51,New Zealand,Corey Anderson,Mumbai Indians,100,450
52,Australia,Moises Henriques,Sunrisers Hyderabad,100,100
53,Australia,Glenn Maxwell,Kings XI Punjab,100,600
54,India,Abhishek Nayar,Rajasthan Royals,30,100
55,India,Laxmi Ratan Shukla,Delhi Daredevils,50,150
56,West Indies Cricket Board,Andre Russell,Kolkata Knight Riders[REC],50,60
57,India,Varun Aaron,Royal Challengers Bangalore,150,200
58,India,Parvinder Awana,Kings XI Punjab [RTM],50,65
59,India,Lakshmipathy Balaji,Kings XI Punjab,50,180
60,Australia,Nathan Coulter-Nile,Delhi Daredevils,100,425
61,India,Ashish Nehra,Chennai Super Kings,200,200
62,India,Mohit Sharma,Chennai Super Kings,100,200
63,India,Jaydev Unadkat,Delhi Daredevils,100,280
64,West Indies Cricket Board,Samuel Badree,Chennai Super Kings,30,30
65,Australia,Chris Lynn,Kolkata Knight Riders[RTM],50,130
66,India,Yalaka Venugopal Rao,Sunrisers Hyderabad,30,55
67,Australia,John Hastings,Chennai Super Kings[REC],50,50
68,New Zealand,James Neesham,Delhi Daredevils,30,100
69,Australia,Ben Cutting,Rajasthan Royals,50,80
70,Australia,Josh Hazlewood,Mumbai Indians,50,50
71,Australia,Ben Hilfenhaus,Chennai Super Kings,100,100
72,West Indies Cricket Board,Jason Holder,Sunrisers Hyderabad,50,75
73,Australia,Kane Richardson,Rajasthan Royals,100,100
74,New Zealand,Tim Southee,Rajasthan Royals,50,120
75,Australia,Patrick Cummins,Kolkata Knight Riders[REC],100,100
76,South Africa,Wayne Parnell,Delhi Daredevils[REC],100,100
77,South Africa,Marchant de Lange,Mumbai Indians[REC],30,30
78,West Indies Cricket Board,Krishmar Santokie,Mumbai Indians[REC],30,30
79,New Zealand,Matt Henry[LAT],Chennai Super Kings,30,30
80,India,Mayank Agarwal,Delhi Daredevils,10,160
81,India,Srikkanth Anirudha,Sunrisers Hyderabad,20,20
82,India,Baba Aparajith,Chennai Super Kings,10,10
83,India,Unmukt Chand,Rajasthan Royals,30,65
84,India,Kedar Jadhav,Delhi Daredevils[RTM],30,200
85,India,Manprit Juneja,Sunrisers Hyderabad,10,10
86,India,Gurkeerat Singh,Kings XI Punjab,20,130
87,India,Manish Pandey,Kolkata Knight Riders,20,170
88,India,KL Rahul,Sunrisers Hyderabad,10,100
89,India,Suryakumar Yadav,Kolkata Knight Riders,20,70
90,India,Vijay Zol,Royal Challengers Bangalore,30,30
91,India,Ankush Bains,Rajasthan Royals,10,10
92,India,Manvinder Bisla,Kolkata Knight Riders,30,60
93,India,Debabrata Das,Kolkata Knight Riders[REC],20,20
94,Australia,Ben Dunk,Mumbai Indians[REC],20,20
95,India,CM Gautam,Mumbai Indians,20,20
96,India,Sushant Marathe,Mumbai Indians,10,10
97,India,Yogesh Takawale,Royal Challengers Bangalore[REC],10,10
98,India,Aditya Tare,Mumbai Indians,20,160
99,India,Iqbal Abdullah,Rajasthan Royals,30,65
100,India,Rajat Bhatia,Rajasthan Royals,30,170
101,West Indies Cricket Board,Kevon Cooper,Rajasthan Royals,30,30
102,India,Rishi Dhawan,Kings XI Punjab,20,300
103,India,Mithun Manhas,Chennai Super Kings,30,30
104,India,Parvez Rasool,Sunrisers Hyderabad,20,95
105,India,Mandeep Singh,Kings XI Punjab,30,80
106,Netherlands,Ryan Ten Doeschate,Kolkata Knight Riders,100,100
107,India,Abu Nechim Ahmed,Royal Challengers Bangalore,30,30
108,India,Jasprit Bumrah,Mumbai Indians,20,120
109,India,Siddarth Kaul,Delhi Daredevils,20,45
110,India,Dhawal Kulkarni,Rajasthan Royals,30,110
111,India,Ishwar Pandey,Chennai Super Kings,10,150
112,India,Prasanth Parameswaran,Sunrisers Hyderabad,30,30
113,India,Sandeep Sharma,Kings XI Punjab,30,85
114,India,Rahul Shukla,Delhi Daredevils,20,40
115,India,Anureet Singh,Kings XI Punjab,20,20
116,India,Shreyas Gopal,Mumbai Indians,10,10
117,India,Shadab Jakati,Royal Challengers Bangalore,20,20
118,India,Shahbaz Nadeem,Delhi Daredevils[RTM],30,85
119,India,Pawan Negi,Chennai Super Kings,10,10
120,India,Karn Sharma,Sunrisers Hyderabad,30,375
121,India,Yuzvendra Chahal,Royal Challengers Bangalore,10,10
122,India,Kuldeep Yadav,Kolkata Knight Riders,10,40
123,India,Pravin Tambe,Rajasthan Royals[RTM],10,10
124,India,Karun Nair,Rajasthan Royals,10,75
125,India,Apoorv Vijay Wankhade,Mumbai Indians[REC],10,10
126,India,Amit Paunikar,Sunrisers Hyderabad,20,20
127,India,Dishant Yagnik,Rajasthan Royals,30,30
128,India,Akshar Patel,Kings XI Punjab,20,75
129,India,Jalaj Saxena,Mumbai Indians,20,90
130,India,Vijay Shankar,Chennai Super Kings,10,10
131,South Africa,Beuran Hendricks,Kings XI Punjab,30,180
132,India,Vikramjeet Malik,Rajasthan Royals,20,20
133,India,Ronit More,Chennai Super Kings,10,10
134,India,Harshal Patel,Royal Challengers Bangalore[RTM],30,40
135,India,Veer Pratap Singh,Kolkata Knight Riders,20,40
136,India,Ashish Reddy,Sunrisers Hyderabad[REC],20,20
137,India,Pawan Suyal,Mumbai Indians,10,10
138,India,Sandeep Warrier,Royal Challengers Bangalore,10,10
139,India,Ankit Nagendra Sharma,Rajasthan Royals[REC],10,10
140,India,Ricky Bhui,Sunrisers Hyderabad[REC],10,10
141,India,Rahul Tewatia,Rajasthan Royals[REC],10,10
142,India,Jayant Yadav,Delhi Daredevils[REC],10,10
143,India,Amit Mishra,Rajasthan Royals[REC],10,10
144,India,Sachin Rana,Royal Challengers Bangalore[REC],20,20
145,India,HS Sharath[LAT],Delhi Daredevils[REC],10,10
146,India,Shivam Sharma[LAT],Kings XI Punjab[REC],10,10
147,India,Deepak Hooda[LAT],Rajasthan Royals[REC],10,40
148,India,Chama Milind,Sunrisers Hyderabad[REC],10,10
149,India,Shardul Thakur,Kings XI Punjab[REC],10,20
150,India,Tanmay Mishra,Royal Challengers Bangalore[REC],10,10
151,India,Sayan Sekhar Mondal,Kolkata Knight Riders[REC],10,10
152,India,Karanveer Singh,Kings XI Punjab[REC],10,10
153,India,Milind Kumar,Delhi Daredevils[REC],10,10
