,pname,id
0,Brendon+McCullum,37737
1,Ravindra+Jadeja,234675
2,Muttiah+Muralitharan,49636
3,Mahela+Jayawardene,49289
4,Herschelle+Gibbs,45224
5,Brad+Hodge,5674
6,Parthiv+Patel,32242
7,Dinesh+Chandimal,300628
8,Andre+Russell,276298
9,Mitchell+Johnson+(cricketer),6033
10,R.+P.+Singh,34057
11,Vinay+Kumar,35731
12,Sreesanth,34274
13,Ramesh+Powar,32391
14,Brad+Hogg,5681
15,Sunil+Narine,230558
16,Robin+Peterson,46750
17,Daniel+Harris+(cricketer),5583
18,Kevon+Cooper,371814
19,James+Faulkner+(cricketer),270484
20,Azhar+Mahmood,39024
21,Thisara+Perera,233514
22,Marchant+de+Lange,393279
23,Darren+Bravo,277472
24,Doug+Bracewell,362541
