,batsman,base_price,buy_price,runs,balls,avg,srate,runs2,avg2,srate2,base_price2,runs3,runs4
39,Shikhar+Dhawan,100000.0,300000.0,305.0,281.0,21.7857142857,92.0124493444,93025.0,474.617346939,8466.29083435,10000000000.0,17.4642491966,28372625.0
40,JP+Duminy,200000.0,300000.0,490.0,396.0,22.2727272727,120.347757896,240100.0,496.074380165,14483.5828306,40000000000.0,22.1359436212,117649000.0
41,Parthiv+Patel,100000.0,290000.0,110.0,128.0,13.75,61.9020526887,12100.0,189.0625,3831.86412707,10000000000.0,10.4880884817,1331000.0
42,Mitchell+Marsh,100000.0,290000.0,28.0,30.0,14.0,102.392344498,784.0,196.0,10484.1922117,10000000000.0,5.29150262213,21952.0
43,Naman+Ojha,100000.0,270000.0,511.0,412.0,25.55,105.402173493,261121.0,652.8025,11109.618177,10000000000.0,22.6053091109,133432831.0
44,Tim+Paine,100000.0,270000.0,136.0,98.0,22.6666666667,81.6977339181,18496.0,513.777777778,6674.51972736,10000000000.0,11.6619037897,2515456.0
45,Paul+Collingwood,200000.0,250000.0,301.0,255.0,15.8421052632,103.291472829,90601.0,250.972299169,10669.1283592,40000000000.0,17.3493515729,27270901.0
46,Steven+Smith,200000.0,200000.0,166.0,132.0,11.8571428571,104.662066464,27556.0,140.591836735,10954.1481564,40000000000.0,12.8840987267,4574296.0
47,Dwayne+Bravo,200000.0,200000.0,359.0,288.0,15.6086956522,117.920836492,128881.0,243.631379962,13905.323679,40000000000.0,18.9472953215,46268279.0
48,Scott+Styris,100000.0,200000.0,788.0,552.0,25.4193548387,135.127067845,620944.0,646.143600416,18259.3244645,10000000000.0,28.0713376952,489303872.0
49,Ryan+ten+Doeschate,50000.0,150000.0,753.0,587.0,26.8928571429,107.00647289,567009.0,723.225765306,11450.3852404,2500000000.0,27.440845468,426957777.0
50,Jesse+Ryder,100000.0,150000.0,261.0,194.0,21.75,94.2973491245,68121.0,473.0625,8891.9900519,10000000000.0,16.1554944214,17779581.0
51,Joginder+Sharma,100000.0,150000.0,22.0,24.0,11.0,109.523809524,484.0,121.0,11995.4648526,10000000000.0,4.69041575982,10648.0
52,Francois+du+Plessis,20000.0,120000.0,59.0,49.0,14.75,101.101190476,3481.0,217.5625,10221.4507157,400000000.0,7.68114574787,205379.0
53,James+Franklin,100000.0,100000.0,716.0,590.0,25.5714285714,110.689621029,512656.0,653.897959184,12252.1922036,10000000000.0,26.7581763205,367061696.0
54,Matthew+Wade,100000.0,100000.0,146.0,116.0,18.25,79.9087235229,21316.0,333.0625,6385.40409505,10000000000.0,12.0830459736,3112136.0
55,Dimitri+Mascarenhas,100000.0,100000.0,12.0,10.0,6.0,114.285714286,144.0,36.0,13061.2244898,10000000000.0,3.46410161514,1728.0
56,Colin+Ingram,100000.0,100000.0,499.0,393.0,26.2631578947,112.609978698,249001.0,689.753462604,12681.0073024,10000000000.0,22.3383079037,124251499.0
57,John+Hastings,20000.0,20000.0,27.0,25.0,5.4,94.6428571429,729.0,29.16,8957.27040816,400000000.0,5.19615242271,19683.0
58,Andrew+McDonald,50000.0,80000.0,316.0,249.0,26.3333333333,115.039367425,99856.0,693.444444444,13234.0560576,2500000000.0,17.7763888346,31554496.0
59,Michael+Lumb,50000.0,80000.0,576.0,439.0,16.9411764706,100.512713223,331776.0,287.003460208,10102.8055195,2500000000.0,24.0,191102976.0
60,Moises+Henriques,50000.0,50000.0,35.0,30.0,7.0,129.0,1225.0,49.0,16641.0,2500000000.0,5.9160797831,42875.0
61,George+Bailey,50000.0,50000.0,138.0,133.0,23.0,109.318875569,19044.0,529.0,11950.6165556,2500000000.0,11.7473401245,2628072.0
62,Roelof+van+der+Merwe,50000.0,50000.0,9.0,13.0,2.25,79.1666666667,81.0,5.0625,6267.36111111,2500000000.0,3.0,729.0
63,Rilee+Rossouw,20000.0,20000.0,35.0,37.0,11.6666666667,95.2380952381,1225.0,136.111111111,9070.29478458,400000000.0,5.9160797831,42875.0
64,Travis+Birt,20000.0,20000.0,142.0,116.0,15.7777777778,116.796536797,20164.0,248.938271605,13641.4310077,400000000.0,11.9163752878,2863288.0
65,Robert+Frylinck,20000.0,20000.0,83.0,42.0,8.3,182.53968254,6889.0,68.89,33320.7357017,400000000.0,9.11043357914,571787.0
66,Stephen+O'Keefe,20000.0,20000.0,6.0,9.0,3.0,81.25,36.0,9.0,6601.5625,400000000.0,2.44948974278,216.0
