,team_name,player_name,ipl_team,base_price,buy_price
0,Australia,Michael Hussey,Chennai Super Kings,150,150
1,India,Irfan Pathan,Chennai Super Kings,150,150
2,India,Rahul Sharma,Chennai Super Kings,30,30
3,South Africa,Kyle Abbott,Chennai Super Kings,30,30
4,Australia,Andrew Tye,Chennai Super Kings,20,20
5,India,Pratyush Singh,Chennai Super Kings,10,10
6,India,Ankush Bains,Chennai Super Kings,10,10
7,India,Eklavya Dwivedi,Chennai Super Kings,10,10
8,India,Yuvraj Singh,Delhi Daredevils,200,1600
9,Sri Lanka,Angelo Mathews,Delhi Daredevils,150,750
10,India,Zaheer Khan,Delhi Daredevils,100,400
11,India,Amit Mishra,Delhi Daredevils,10,350
12,India,Shreyas Iyer,Delhi Daredevils,10,260
13,Australia,Gurinder Sandhu,Delhi Daredevils,30,170
14,India,Jaydev Unadkat,Delhi Daredevils,50,110
15,India,Domnic Joseph,Delhi Daredevils,10,75
16,South Africa,Albie Morkel,Delhi Daredevils,30,30
17,Australia,Marcus Stoinis,Delhi Daredevils,20,25
18,India,CM Gautam,Delhi Daredevils,20,20
19,India,Srikar Bharat,Delhi Daredevils,10,10
20,India,KK Jiyas,Delhi Daredevils,10,10
21,India,Murali Vijay,Kings XI Punjab,50,300
22,India,Nikhil Naik,Kings XI Punjab,10,30
23,India,Yogesh Golwalkar,Kings XI Punjab,10,10
24,India,KC Cariappa,Kolkata Knight Riders,10,240
25,New Zealand,James Neesham,Kolkata Knight Riders,30,50
26,Australia,Brad Hogg,Kolkata Knight Riders,50,50
27,India,Aditya Garhwal,Kolkata Knight Riders,10,25
28,India,Sheldon Jackson,Kolkata Knight Riders,10,15
29,India,Sumit Narwal,Kolkata Knight Riders,10,10
30,India,Vaibhav Rawal,Kolkata Knight Riders,10,10
31,Australia,Aaron Finch,Mumbai Indians,100,320
32,India,Pragyan Ojha,Mumbai Indians,50,50
33,India,Abhimanyu Mithun,Mumbai Indians,30,30
34,New Zealand,Mitchell McClenaghan,Mumbai Indians,30,30
35,Australia,Aiden Blizzard,Mumbai Indians,30,30
36,India,Hardik Pandya,Mumbai Indians,10,10
37,India,Akshay Wakhare,Mumbai Indians,10,10
38,India,Nitish Rana,Mumbai Indians,10,10
39,India,Siddhesh Lad,Mumbai Indians,10,10
40,India,Jagadeesha Suchith,Mumbai Indians,10,10
41,South Africa,Chris Morris,Rajasthan Royals,50,140
42,South Africa,Rusty Theron,Rajasthan Royals,30,30
43,India,Brainder Sran,Rajasthan Royals,10,10
44,India,Dinesh Salunkhe,Rajasthan Royals,10,10
45,India,Sagar Trivedi,Rajasthan Royals,10,10
46,India,Pardeep Sahu,Rajasthan Royals,10,10
47,India,Dinesh Karthik,Royal Challengers Bangalore,200,1050
48,West Indies Cricket Board,Darren Sammy,Royal Challengers Bangalore,100,280
49,South Africa,David Wiese,Royal Challengers Bangalore,30,280
50,Australia,Sean Abbott,Royal Challengers Bangalore,50,100
51,New Zealand,Adam Milne,Royal Challengers Bangalore,30,70
52,India,Sarfaraz Khan,Royal Challengers Bangalore,10,50
53,India,Subramaniam Badrinath,Royal Challengers Bangalore,30,30
54,India,Jalaj Saxena,Royal Challengers Bangalore,10,10
55,India,Shishir Bhavane,Royal Challengers Bangalore,10,10
56,New Zealand,Trent Boult,Sunrisers Hyderabad,50,380
57,India,Praveen Kumar,Sunrisers Hyderabad,50,220
58,England,Kevin Pietersen,Sunrisers Hyderabad,200,200
59,England,Eoin Morgan,Sunrisers Hyderabad,150,150
60,England,Ravi Bopara,Sunrisers Hyderabad,100,100
61,New Zealand,Kane Williamson,Sunrisers Hyderabad,50,60
62,India,Laxmi Ratan Shukla,Sunrisers Hyderabad,30,30
63,India,Padmanabhan Prasanth,Sunrisers Hyderabad,10,10
64,India,Hanuma Vihari,Sunrisers Hyderabad,10,10
65,India,Siddarth Kaul,Sunrisers Hyderabad,10,10
