,pname,id
211,Ashok+Dinda,227712
212,Bhuvneshwar+Kumar,326016
213,Morne+Morkel,46538
214,Ravi+Rampaul,52912
215,Mohammed+Shami,481896
216,Ishant+Sharma,236779
217,Mitchell+Starc,311592
218,Ranganath+Vinay+Kumar,35731
219,Umesh+Yadav,376116
220,Piyush+Chawla,32966
221,Murali+Kartik,30049
222,Muttiah+Muralitharan,49636
223,Pragyan+Ojha,32130
224,Rahul+Sharma,272994
225,Nic+Maddinson,333780
226,Saurabh+Tiwary,35390
227,Brendan+Taylor,55814
228,Corey+Anderson,277662
229,Moises+Henriques,5961
230,Glenn+Maxwell,325026
231,Abhishek+Nayar,32091
232,Laxmi+Ratan+Shukla,34019
233,Andre+Russell,276298
234,Varun+Aaron,360911
235,Parvinder+Awana,323131
236,Nathan+Coulter-Nile,261354
237,Ashish+Nehra,31820
238,Mohit+Sharma,537119
239,Jaydev+Unadkat,390484
240,Samuel+Badree,51433
241,Chris+Lynn,326637
242,Yalaka+Venugopal+Rao,35805
243,John+Hastings,228622
244,James+Neesham,355269
245,Ben+Cutting,230371
246,Josh+Hazlewood,288284
247,Ben+Hilfenhaus,5941
248,Jason+Holder,391485
249,Kane+Richardson,272262
250,Tim+Southee,232364
251,Patrick+Cummins,489889
252,Wayne+Parnell,265564
253,Marchant+de+Lange,393279
254,Krishmar+Santokie,314622
255,Matt+Henry[LAT],506612
256,Mayank+Agarwal,398438
257,Srikkanth+Anirudha,26798
258,Baba+Aparajith,477071
259,Unmukt+Chand,446499
260,Kedar+Jadhav,290716
261,Manprit+Juneja,390480
262,Gurkeerat+Singh,537124
263,Manish+Pandey,290630
264,KL+Rahul,422108
265,Suryakumar+Yadav,446507
266,Vijay+Zol,554699
267,Ankush+Bains,604534
268,Manvinder+Bisla,27280
269,Debabrata+Das,328163
270,Ben+Dunk,388678
271,CM+Gautam,302208
272,Sushant+Marathe,31756
273,Yogesh+Takawale,35357
274,Aditya+Tare,333904
275,Iqbal+Abdullah,277237
276,Rajat+Bhatia,26907
277,Kevon+Cooper,371814
278,Rishi+Dhawan,290727
279,Mithun+Manhas,31001
280,Parvez+Rasool,378496
281,Mandeep+Singh,398506
282,Ryan+Ten+Doeschate,47660
283,Abu+Nechim+Ahmed,228430
284,Jasprit+Bumrah,625383
285,Siddarth+Kaul,326017
286,Dhawal+Kulkarni,277955
287,Ishwar+Pandey,447439
288,Sandeep+Sharma,438362
289,Rahul+Shukla,390547
290,Anureet+Singh,376324
291,Shreyas+Gopal,344580
292,Shadab+Jakati,29655
293,Shahbaz+Nadeem,31872
294,Pawan+Negi,530773
295,Karn+Sharma,30288
296,Yuzvendra+Chahal,430246
297,Kuldeep+Yadav,559235
298,Pravin+Tambe,587152
299,Karun+Nair,398439
300,Apoorv+Vijay+Wankhade,505773
301,Amit+Paunikar,324444
302,Dishant+Yagnik,36071
303,Akshar+Patel,554691
304,Jalaj+Saxena,237199
305,Beuran+Hendricks,379927
306,Vikramjeet+Malik,31738
307,Ronit+More,424219
308,Harshal+Patel,390481
309,Veer+Pratap+Singh,528967
310,Ashish+Reddy,389605
311,Pawan+Suyal,431213
312,Sandeep+Warrier,592735
313,Ankit+Nagendra+Sharma,422992
314,Ricky+Bhui,642531
315,Rahul+Tewatia,423838
316,Jayant+Yadav,447587
317,Amit+Mishra,31107
318,Sachin+Rana,33757
319,HS+Sharath[LAT],478881
320,Shivam+Sharma[LAT],717201
321,Deepak+Hooda[LAT],497121
322,Chama+Milind,604616
323,Shardul+Thakur,475281
324,Tanmay+Mishra,24790
325,Sayan+Sekhar+Mondal,433356
326,Karanveer+Singh,322535
327,Milind+Kumar,451947
328,Michael+Hussey,5939
329,Irfan+Pathan,32685
330,Rahul+Sharma,272994
331,Kyle+Abbott,297583
332,Andrew+Tye,459508
333,Pratyush+Singh,717205
334,Ankush+Bains,604534
335,Eklavya+Dwivedi,340841
336,Yuvraj+Singh,36084
337,Angelo+Mathews,49764
338,Zaheer+Khan,30102
339,Amit+Mishra,31107
340,Shreyas+Iyer,642519
341,Gurinder+Sandhu,499660
342,Jaydev+Unadkat,390484
343,Domnic+Joseph,528985
344,Albie+Morkel,46248
345,Marcus+Stoinis,325012
346,CM+Gautam,302208
347,Srikar+Bharat,529436
348,KK+Jiyas,857781
349,Murali+Vijay,237095
350,Nikhil+Naik,554700
351,Yogesh+Golwalkar,29048
352,KC+Cariappa,777537
353,James+Neesham,355269
354,Brad+Hogg,5681
355,Aditya+Garhwal,725435
356,Sheldon+Jackson,237696
357,Sumit+Narwal,32084
358,Aaron+Finch,5334
359,Pragyan+Ojha,32130
360,Abhimanyu+Mithun,310958
361,Mitchell+McClenaghan,319439
362,Aiden+Blizzard,4498
363,Hardik+Pandya,625371
364,Akshay+Wakhare,269520
365,Nitish+Rana,604527
366,Siddhesh+Lad,422342
367,Jagadeesha+Suchith,527663
368,Chris+Morris,439952
369,Rusty+Theron,223642
370,Brainder+Sran,537126
371,Dinesh+Salunkhe,278482
372,Sagar+Trivedi,856285
373,Pardeep+Sahu,34155
374,Dinesh+Karthik,30045
375,Darren+Sammy,53115
376,David+Wiese,221140
377,Sean+Abbott,398666
378,Adam+Milne,450860
379,Sarfaraz+Khan,642525
380,Subramaniam+Badrinath,26806
381,Jalaj+Saxena,237199
382,Shishir+Bhavane,474794
383,Trent+Boult,277912
384,Praveen+Kumar,30732
385,Kevin+Pietersen,19296
386,Eoin+Morgan,24598
387,Ravi+Bopara,10582
388,Kane+Williamson,277906
389,Laxmi+Ratan+Shukla,34019
390,Padmanabhan+Prasanth,32211
391,Hanuma+Vihari,452044
392,Siddarth+Kaul,326017
393,Kevin+Pietersen,19296
394,Dwayne+Smith,53118
395,Ishant+Sharma,236779
396,Shane+Watson,8180
397,Ashish+Nehra,31820
398,Yuvraj+Singh,36084
399,Dale+Steyn,47492
400,Sanju+Samson,425943
401,Jos+Buttler,308967
402,Dinesh+Karthik,30045
403,Irfan+Pathan,32685
404,Chris+Morris,439952
405,Colin+Munro,232359
406,Stuart+Binny,27223
407,Mitchell+Marsh,272450
408,Dhawal+Kulkarni,277955
409,John+Hastings,228622
410,Praveen+Kumar,30732
411,Tim+Southee,232364
412,Mohit+Sharma,537119
413,Carlos+Brathwaite,457249
414,Marcus+Stoinis,325012
415,Mustafizur+Rahman,330902
416,Jaydev+Unadkat,390484
417,Kyle+Abbott,297583
418,Barinder+Sran,537126
419,Abhimanyu+Mithun,310958
420,R.+P.+Singh,34057
421,Travis+Head,530011
422,Sachin+Baby,432783
423,Karun+Nair,398439
424,Paras+Dogra,28160
425,Rishabh+Pant,931581
426,Eklavya+Dwivedi,340841
427,Aditya+Tare,333904
428,Iqbal+Abdulla,277237
429,Deepak+Hooda,497121
430,Ankit+Sharma,422992
431,Pawan+Negi,530773
432,Rajat+Bhatia,26907
433,Pradeep+Sangwan,279545
434,Nathu+Singh,853259
435,Ishwar+Pandey,447439
436,Ankit+Rajpoot,591650
437,Pravin+Tambe,587152
438,Shivil+Kaushik,917213
439,Sarabjit+Ladda,317292
440,Murugan+Ashwin,528067
441,KC+Cariappa,777537
442,Aaron+Finch,5334
443,Sam+Billings,297628
444,Tirumalasetti+Suman,34281
445,Ankush+Bains,604534
446,Umang+Sharma,596945
447,Peter+Handscomb,334337
448,Jitesh+Sharma,721867
449,Armaan+Jaffer,960369
450,Jason+Holder,391485
451,Thisara+Perera,233514
452,Ben+Cutting,230371
453,Andrew+Tye,459508
454,Praveen+Dubey,777515
