,balls,date,fours,oppo,runs,sixes,srate,venue
0,13,11 Jan 1992,0,v West Indies,3,0,23.07,Brisbane
1,83,26 May 1996,3,v England,46,0,55.42,Manchester
2,41,28 Aug 1996,3,v Sri Lanka,16,0,39.02,Colombo (RPS)
3,52,1 Sep 1996,3,v Zimbabwe,36,1,69.23,Colombo (SSC)
4,75,6 Sep 1996,7,v Australia,59,0,78.66,Colombo (SSC)
5,8,17 Sep 1996,1,v Pakistan,11,0,137.50,Toronto
6,21,23 Sep 1996,1,v Pakistan,12,0,57.14,Toronto
7,42,17 Oct 1996,3,v South Africa,31,1,73.80,Hyderabad (Deccan)
8,4,21 Oct 1996,1,v Australia,4,0,100.00,Bangalore
9,104,23 Oct 1996,3,v South Africa,54,0,51.92,Jaipur
10,64,23 Jan 1997,6,v South Africa,40,0,62.50,Bloemfontein
11,79,27 Jan 1997,3,v Zimbabwe,38,0,48.10,Paarl
12,4,2 Feb 1997,0,v South Africa,0,0,0.00,Port Elizabeth
13,136,4 Feb 1997,6,v South Africa,83,1,61.02,East London
14,44,7 Feb 1997,3,v Zimbabwe,31,0,70.45,Centurion
15,14,9 Feb 1997,1,v Zimbabwe,12,0,85.71,Benoni
16,43,12 Feb 1997,2,v South Africa,18,0,41.86,Durban
17,10,13 Feb 1997,0,v South Africa,5,0,50.00,Durban
18,20,15 Feb 1997,0,v Zimbabwe,2,0,10.00,Bulawayo
19,77,27 Apr 1997,2,v West Indies,39,0,50.64,Port of Spain
20,108,30 Apr 1997,5,v West Indies,79,0,73.14,Kingstown
21,5,3 May 1997,1,v West Indies,4,0,80.00,Bridgetown
22,87,14 May 1997,8,v New Zealand,62,1,71.26,Bangalore
23,1,17 May 1997,0,v Sri Lanka,0,0,0.00,Mumbai
24,28,21 May 1997,7,v Pakistan,33,0,117.85,Chennai
25,22,18 Jul 1997,2,v Sri Lanka,11,0,50.00,Colombo (RPS)
26,52,24 Jul 1997,8,v Bangladesh,73,2,140.38,Colombo (SSC)
27,55,26 Jul 1997,5,v Sri Lanka,34,0,61.81,Colombo (RPS)
28,26,17 Aug 1997,4,v Sri Lanka,31,0,119.23,Colombo (RPS)
29,126,20 Aug 1997,11,v Sri Lanka,113,0,89.68,Colombo (RPS)
30,20,23 Aug 1997,1,v Sri Lanka,14,0,70.00,Colombo (SSC)
31,23,24 Aug 1997,3,v Sri Lanka,17,0,73.91,Colombo (SSC)
32,41,13 Sep 1997,3,v Pakistan,17,0,41.46,Toronto
33,86,14 Sep 1997,4,v Pakistan,32,0,37.20,Toronto
