,date,econ,mdns,oppo,overs,runs,venue,wickets
83,1 Aug 2004,4.80,0,v Sri Lanka,10.0,48,Colombo (RPS),1
84,3 Sep 2004,1.40,2,v England,10.0,14,The Oval,2
85,5 Sep 2004,2.80,1,v England,10.0,28,Lord's,3
86,11 Sep 2004,3.30,2,v Kenya,10.0,33,Southampton,3
87,19 Sep 2004,3.70,1,v Pakistan,10.0,37,Birmingham,0
88,13 Nov 2004,5.10,0,v Pakistan,10.0,51,Kolkata,0
89,23 Dec 2004,4.60,1,v Bangladesh,10.0,46,Chittagong,0
90,27 Dec 2004,6.00,0,v Bangladesh,8.0,48,Dhaka,1
91,2 Apr 2005,3.20,0,v Pakistan,10.0,32,Kochi,0
92,5 Apr 2005,7.14,0,v Pakistan,7.0,50,Visakhapatnam,1
93,9 Apr 2005,5.70,0,v Pakistan,10.0,57,Jamshedpur,1
94,15 Apr 2005,4.30,0,v Pakistan,10.0,43,Kanpur,1
95,17 Apr 2005,4.33,0,v Pakistan,9.0,39,Delhi,0
96,30 Jul 2005,4.40,0,v Sri Lanka,10.0,44,Dambulla,2
97,31 Jul 2005,2.40,1,v West Indies,10.0,24,Dambulla,2
98,3 Aug 2005,5.44,0,v Sri Lanka,9.0,49,Dambulla,1
99,9 Aug 2005,4.00,0,v Sri Lanka,10.0,40,Colombo (RPS),0
100,26 Aug 2005,6.11,1,v New Zealand,9.0,55,Bulawayo,0
101,29 Aug 2005,3.60,0,v Zimbabwe,2.3,9,Harare,1
102,2 Sep 2005,4.60,0,v New Zealand,10.0,46,Harare,0
103,4 Sep 2005,3.90,0,v Zimbabwe,10.0,39,Harare,1
104,6 Sep 2005,4.90,0,v New Zealand,10.0,49,Harare,0
105,25 Oct 2005,3.50,0,v Sri Lanka,10.0,35,Nagpur,3
106,28 Oct 2005,2.85,1,v Sri Lanka,6.4,19,Mohali,2
107,31 Oct 2005,3.00,0,v Sri Lanka,10.0,30,Jaipur,0
108,3 Nov 2005,3.50,0,v Sri Lanka,10.0,35,Pune,1
109,9 Nov 2005,4.22,1,v Sri Lanka,9.0,38,Rajkot,0
110,12 Nov 2005,4.50,1,v Sri Lanka,10.0,45,Vadodara,0
111,16 Nov 2005,3.50,0,v South Africa,10.0,35,Hyderabad (Deccan),1
112,19 Nov 2005,3.30,2,v South Africa,10.0,33,Bangalore,2
113,25 Nov 2005,3.70,0,v South Africa,10.0,37,Kolkata,0
114,28 Nov 2005,3.20,0,v South Africa,10.0,32,Mumbai,2
115,28 Mar 2006,3.10,2,v England,10.0,31,Delhi,5
116,31 Mar 2006,4.30,1,v England,10.0,43,Faridabad,1
117,3 Apr 2006,4.70,1,v England,10.0,47,Margao,2
118,6 Apr 2006,3.60,1,v England,10.0,36,Kochi,1
119,12 Apr 2006,3.00,0,v England,10.0,30,Jamshedpur,3
120,18 Apr 2006,4.60,1,v Pakistan,10.0,46,Abu Dhabi,0
121,19 Apr 2006,5.70,0,v Pakistan,10.0,57,Abu Dhabi,1
122,18 May 2006,3.66,2,v West Indies,9.0,33,Kingston,1
123,20 May 2006,3.20,0,v West Indies,10.0,32,Kingston,1
124,23 May 2006,3.30,1,v West Indies,10.0,33,Basseterre,1
125,26 May 2006,4.20,1,v West Indies,10.0,42,Port of Spain,0
126,28 May 2006,5.20,0,v West Indies,10.0,52,Port of Spain,0
127,18 Aug 2006,-,-,v Sri Lanka,TDNB,-,Colombo (SSC),-
128,14 Sep 2006,7.50,0,v West Indies,4.0,30,Kuala Lumpur,0
129,16 Sep 2006,2.60,0,v Australia,10.0,26,Kuala Lumpur,2
130,20 Sep 2006,4.37,0,v West Indies,8.0,35,Kuala Lumpur,3
131,22 Sep 2006,2.40,2,v Australia,10.0,24,Kuala Lumpur,1
132,15 Oct 2006,3.37,0,v England,8.0,27,Jaipur,1
133,26 Oct 2006,2.70,1,v West Indies,10.0,27,Ahmedabad,1
134,29 Oct 2006,4.90,0,v Australia,10.0,49,Mohali,0
135,22 Nov 2006,5.90,0,v South Africa,10.0,59,Durban,0
136,26 Nov 2006,6.30,0,v South Africa,10.0,63,Cape Town,0
137,3 Dec 2006,4.87,0,v South Africa,8.0,39,Centurion,1
138,21 Jan 2007,6.00,0,v West Indies,10.0,60,Nagpur,2
139,24 Jan 2007,2.90,3,v West Indies,10.0,29,Cuttack,1
140,31 Jan 2007,3.75,1,v West Indies,8.0,30,Vadodara,1
141,8 Feb 2007,3.50,0,v Sri Lanka,2.0,7,Kolkata,0
142,11 Feb 2007,4.10,0,v Sri Lanka,10.0,41,Rajkot,1
143,14 Feb 2007,3.70,0,v Sri Lanka,10.0,37,Margao,2
144,17 Feb 2007,5.33,0,v Sri Lanka,9.0,48,Visakhapatnam,0
