,balls,date,fours,oppo,runs,sixes,srate,venue
0,38,2 Feb 2005,3,v England,20,0,52.63,Bloemfontein
1,28,4 Feb 2005,2,v England,16,0,57.14,Port Elizabeth
2,14,6 Feb 2005,0,v England,9,1,64.28,Cape Town
3,7,9 Feb 2005,0,v England,2,0,28.57,East London
4,7,2 Mar 2005,1,v Zimbabwe,7,0,100.00,Port Elizabeth
5,29,14 May 2005,3,v West Indies,17,0,58.62,Port of Spain
6,25,15 May 2005,3,v West Indies,30,1,120.00,Port of Spain
7,23,17 Aug 2005,3,v Asia XI,24,1,104.34,Centurion
8,67,20 Aug 2005,5,v Asia XI,39,0,58.20,Durban
9,29,30 Oct 2005,4,v New Zealand,29,1,100.00,Port Elizabeth
10,18,4 Nov 2005,1,v New Zealand,6,0,33.33,Durban
11,25,6 Nov 2005,2,v New Zealand,11,0,44.00,Centurion
12,16,16 Nov 2005,1,v India,7,0,43.75,Hyderabad (Deccan)
13,5,19 Nov 2005,1,v India,4,0,80.00,Bangalore
14,30,26 Feb 2006,7,v Australia,43,1,143.33,Centurion
15,23,3 Mar 2006,3,v Australia,18,0,78.26,Cape Town
16,92,5 Mar 2006,6,v Australia,68,1,73.91,Port Elizabeth
17,45,10 Mar 2006,4,v Australia,38,2,84.44,Durban
18,20,12 Mar 2006,1,v Australia,14,0,70.00,Johannesburg
19,88,24 Oct 2006,3,v Sri Lanka,54,0,61.36,Ahmedabad
20,11,27 Oct 2006,2,v Pakistan,10,0,90.90,Mohali
21,57,2 Nov 2006,3,v West Indies,46,0,80.70,Jaipur
22,47,22 Nov 2006,3,v India,41,1,87.23,Durban
23,30,26 Nov 2006,5,v India,29,0,96.66,Cape Town
24,8,29 Nov 2006,0,v India,13,1,162.50,Port Elizabeth
25,98,3 Dec 2006,12,v India,92,1,93.87,Centurion
26,78,4 Feb 2007,8,v Pakistan,67,2,85.89,Centurion
27,46,7 Feb 2007,8,v Pakistan,43,0,93.47,Durban
28,40,11 Feb 2007,7,v Pakistan,50,1,125.00,Cape Town
29,86,14 Feb 2007,7,v Pakistan,71,2,82.55,Johannesburg
30,2,16 Mar 2007,0,v Netherlands,0,0,0.00,Basseterre
31,45,20 Mar 2007,9,v Scotland,62,2,137.77,Basseterre
32,70,24 Mar 2007,14,v Australia,92,2,131.42,Basseterre
33,5,28 Mar 2007,0,v Sri Lanka,0,0,0.00,Providence
34,3,3 Apr 2007,0,v Ireland,0,0,0.00,Providence
35,39,7 Apr 2007,1,v Bangladesh,15,0,38.46,Providence
36,130,10 Apr 2007,12,v West Indies,146,5,112.30,St George's
37,6,14 Apr 2007,0,v New Zealand,0,0,0.00,St George's
38,35,17 Apr 2007,8,v England,42,0,120.00,Bridgetown
39,34,25 Apr 2007,3,v Australia,15,0,44.11,Gros Islet
40,2,6 Jun 2007,1,v Asia XI,4,0,200.00,Bangalore
41,10,9 Jun 2007,1,v Asia XI,13,0,130.00,Chennai
42,63,10 Jun 2007,7,v Asia XI,70,3,111.11,Chennai
43,35,24 Jun 2007,6,v Ireland,40,0,114.28,Belfast
44,37,26 Jun 2007,3,v India,24,0,64.86,Belfast
45,6,29 Jun 2007,0,v India,0,0,0.00,Belfast
46,35,1 Jul 2007,2,v India,15,0,42.85,Belfast
47,85,22 Aug 2007,5,v Zimbabwe,63,0,74.11,Bulawayo
48,5,25 Aug 2007,0,v Zimbabwe,0,0,0.00,Harare
49,89,26 Aug 2007,8,v Zimbabwe,107,6,120.22,Harare
50,95,18 Oct 2007,9,v Pakistan,103,3,108.42,Lahore
51,51,20 Oct 2007,4,v Pakistan,35,0,68.62,Lahore
52,28,23 Oct 2007,2,v Pakistan,17,0,60.71,Faisalabad
53,1,26 Oct 2007,0,v Pakistan,1,0,100.00,Multan
54,21,29 Oct 2007,2,v Pakistan,17,0,80.95,Lahore
55,103,25 Nov 2007,9,v New Zealand,87,0,84.46,Durban
56,13,30 Nov 2007,2,v New Zealand,8,0,61.53,Port Elizabeth
57,12,2 Dec 2007,0,v New Zealand,2,0,16.66,Cape Town
58,9,20 Jan 2008,0,v West Indies,2,0,22.22,Centurion
59,59,25 Jan 2008,7,v West Indies,45,1,76.27,Cape Town
60,25,27 Jan 2008,1,v West Indies,18,0,72.00,Port Elizabeth
61,86,1 Feb 2008,7,v West Indies,77,0,89.53,Durban
62,112,12 Mar 2008,2,v Bangladesh,69,1,61.60,Dhaka
63,37,14 Mar 2008,7,v Bangladesh,40,0,108.10,Dhaka
64,35,22 Aug 2008,3,v England,24,0,68.57,Leeds
65,25,26 Aug 2008,0,v England,5,0,20.00,Nottingham
66,23,29 Aug 2008,1,v England,12,0,52.17,The Oval
67,34,31 Aug 2008,0,v England,14,0,41.17,Lord's
68,17,31 Oct 2008,1,v Kenya,11,0,64.70,Bloemfontein
69,22,2 Nov 2008,4,v Kenya,28,0,127.27,Kimberley
70,43,7 Nov 2008,3,v Bangladesh,35,0,81.39,Potchefstroom
71,27,9 Nov 2008,2,v Bangladesh,54,4,200.00,Benoni
72,62,18 Jan 2009,2,v Australia,44,0,70.96,Hobart
73,4,23 Jan 2009,1,v Australia,5,0,125.00,Sydney
74,85,26 Jan 2009,6,v Australia,82,1,96.47,Adelaide
75,71,30 Jan 2009,4,v Australia,60,0,84.50,Perth
76,6,3 Apr 2009,0,v Australia,2,0,33.33,Durban
77,42,5 Apr 2009,2,v Australia,36,1,85.71,Centurion
78,87,9 Apr 2009,7,v Australia,80,0,91.95,Cape Town
79,74,13 Apr 2009,6,v Australia,84,3,113.51,Port Elizabeth
80,42,17 Apr 2009,2,v Australia,38,0,90.47,Johannesburg
81,38,22 Sep 2009,0,v Sri Lanka,24,0,63.15,Centurion
82,76,24 Sep 2009,9,v New Zealand,70,0,92.10,Centurion
83,41,27 Sep 2009,4,v England,36,0,87.80,Centurion
84,51,8 Nov 2009,5,v Zimbabwe,51,1,100.00,Benoni
85,11,10 Nov 2009,0,v Zimbabwe,5,0,45.45,Centurion
86,10,22 Nov 2009,0,v England,2,0,20.00,Centurion
87,85,27 Nov 2009,14,v England,121,0,142.35,Cape Town
88,36,29 Nov 2009,4,v England,22,0,61.11,Port Elizabeth
89,23,21 Feb 2010,4,v India,25,0,108.69,Jaipur
90,101,24 Feb 2010,13,v India,114,2,112.87,Gwalior
91,59,27 Feb 2010,11,v India,102,3,172.88,Ahmedabad
92,101,22 May 2010,5,v West Indies,102,2,100.99,North Sound
93,35,24 May 2010,3,v West Indies,41,1,117.14,North Sound
94,80,28 May 2010,2,v West Indies,70,1,87.50,Roseau
95,64,30 May 2010,3,v West Indies,57,0,89.06,Roseau
96,16,3 Jun 2010,1,v West Indies,13,0,81.25,Port of Spain
97,16,15 Oct 2010,2,v Zimbabwe,21,0,131.25,Bloemfontein
98,72,17 Oct 2010,5,v Zimbabwe,101,5,140.27,Potchefstroom
99,99,22 Oct 2010,5,v Zimbabwe,109,5,110.10,Benoni
100,53,29 Oct 2010,6,v Pakistan,51,0,96.22,Abu Dhabi
101,43,31 Oct 2010,1,v Pakistan,29,0,67.44,Abu Dhabi
102,40,2 Nov 2010,1,v Pakistan,19,0,47.50,Dubai (DSC)
103,70,5 Nov 2010,0,v Pakistan,49,0,70.00,Dubai (DSC)
104,72,8 Nov 2010,5,v Pakistan,61,0,84.72,Dubai (DSC)
105,69,12 Jan 2011,7,v India,76,1,110.14,Durban
106,13,15 Jan 2011,1,v India,8,0,61.53,Johannesburg
107,20,18 Jan 2011,0,v India,16,0,80.00,Cape Town
108,5,21 Jan 2011,0,v India,3,0,60.00,Port Elizabeth
109,12,23 Jan 2011,1,v India,11,0,91.66,Centurion
110,105,24 Feb 2011,8,v West Indies,107,2,101.90,Delhi
111,98,3 Mar 2011,13,v Netherlands,134,4,136.73,Mohali
112,44,6 Mar 2011,0,v England,25,0,56.81,Chennai
113,39,12 Mar 2011,6,v India,52,1,133.33,Nagpur
114,40,25 Mar 2011,4,v New Zealand,35,0,87.50,Dhaka
115,40,11 Jan 2012,7,v Sri Lanka,52,0,130.00,Paarl
116,13,14 Jan 2012,2,v Sri Lanka,17,0,130.76,East London
117,36,17 Jan 2012,3,v Sri Lanka,39,0,108.33,Bloemfontein
118,76,20 Jan 2012,8,v Sri Lanka,96,3,126.31,Kimberley
119,98,22 Jan 2012,10,v Sri Lanka,125,4,127.55,Johannesburg
120,106,25 Feb 2012,3,v New Zealand,106,4,100.00,Wellington
121,35,29 Feb 2012,2,v New Zealand,31,0,88.57,Napier
122,5,3 Mar 2012,0,v New Zealand,9,1,180.00,Auckland
123,29,28 Aug 2012,1,v England,28,0,96.55,Southampton
124,31,31 Aug 2012,3,v England,28,0,90.32,The Oval
125,46,2 Sep 2012,2,v England,39,0,84.78,Lord's
126,79,5 Sep 2012,10,v England,75,0,94.93,Nottingham
127,8,19 Jan 2013,1,v New Zealand,7,0,87.50,Paarl
128,63,10 Mar 2013,4,v Pakistan,65,0,103.17,Bloemfontein
129,5,15 Mar 2013,1,v Pakistan,4,0,80.00,Centurion
130,108,17 Mar 2013,12,v Pakistan,128,3,118.51,Johannesburg
131,108,21 Mar 2013,5,v Pakistan,75,0,69.44,Durban
132,111,24 Mar 2013,9,v Pakistan,95,1,85.58,Benoni
133,71,6 Jun 2013,7,v India,70,0,98.59,Cardiff
134,31,10 Jun 2013,1,v Pakistan,31,1,100.00,Birmingham
135,26,14 Jun 2013,2,v West Indies,37,1,142.30,Cardiff
136,9,19 Jun 2013,0,v England,0,0,0.00,The Oval
137,19,20 Jul 2013,5,v Sri Lanka,23,0,121.05,Colombo (RPS)
138,18,23 Jul 2013,1,v Sri Lanka,12,0,66.66,Colombo (RPS)
139,72,26 Jul 2013,3,v Sri Lanka,47,0,65.27,Pallekele
140,8,28 Jul 2013,0,v Sri Lanka,4,0,50.00,Pallekele
141,51,31 Jul 2013,5,v Sri Lanka,51,1,100.00,Colombo (RPS)
142,12,30 Oct 2013,0,v Pakistan,4,0,33.33,Sharjah
143,21,1 Nov 2013,0,v Pakistan,10,0,47.61,Dubai (DSC)
144,40,6 Nov 2013,2,v Pakistan,34,0,85.00,Abu Dhabi
145,40,8 Nov 2013,2,v Pakistan,30,0,75.00,Abu Dhabi
146,102,11 Nov 2013,10,v Pakistan,115,3,112.74,Sharjah
147,15,24 Nov 2013,1,v Pakistan,10,0,66.66,Cape Town
148,45,27 Nov 2013,8,v Pakistan,74,2,164.44,Port Elizabeth
149,63,30 Nov 2013,3,v Pakistan,48,0,76.19,Centurion
