version,1
info,team,Kolkata Knight Riders
info,team,Royal Challengers Bangalore
info,gender,male
info,season,2012
info,date,2012/04/28
info,competition,Indian Premier League
info,match_number,38
info,venue,Eden Gardens
info,city,Kolkata
info,toss_winner,Kolkata Knight Riders
info,toss_decision,bat
info,player_of_match,G Gambhir
info,umpire,Asad Rauf
info,umpire,BR Doctrove
info,reserve_umpire,AS Pathania
info,tv_umpire,S Asnani
info,match_referee,RR Jadeja
info,winner,Kolkata Knight Riders
info,winner_runs,47
ball,1,7.6,Kolkata Knight Riders,BB McCullum,G Gambhir,TM Dilshan,1,0,"",""
ball,1,8.1,Kolkata Knight Riders,BB McCullum,G Gambhir,DL Vettori,0,0,"",""
ball,1,8.2,Kolkata Knight Riders,BB McCullum,G Gambhir,DL Vettori,4,0,"",""
ball,1,8.3,Kolkata Knight Riders,BB McCullum,G Gambhir,DL Vettori,4,0,"",""
ball,1,8.4,Kolkata Knight Riders,BB McCullum,G Gambhir,DL Vettori,0,0,"",""
ball,1,8.5,Kolkata Knight Riders,BB McCullum,G Gambhir,DL Vettori,0,0,"",""
ball,1,8.6,Kolkata Knight Riders,BB McCullum,G Gambhir,DL Vettori,0,0,"",""
ball,1,9.1,Kolkata Knight Riders,G Gambhir,BB McCullum,HV Patel,6,0,"",""
ball,1,9.2,Kolkata Knight Riders,G Gambhir,BB McCullum,HV Patel,1,0,"",""
ball,1,9.3,Kolkata Knight Riders,BB McCullum,G Gambhir,HV Patel,0,0,"",""
ball,1,9.4,Kolkata Knight Riders,BB McCullum,G Gambhir,HV Patel,4,0,"",""
ball,1,9.5,Kolkata Knight Riders,BB McCullum,G Gambhir,HV Patel,2,0,"",""
ball,1,9.6,Kolkata Knight Riders,BB McCullum,G Gambhir,HV Patel,1,0,"",""
ball,1,10.1,Kolkata Knight Riders,BB McCullum,G Gambhir,DL Vettori,4,0,"",""
ball,1,10.2,Kolkata Knight Riders,BB McCullum,G Gambhir,DL Vettori,4,0,"",""
ball,1,10.3,Kolkata Knight Riders,BB McCullum,G Gambhir,DL Vettori,0,0,bowled,BB McCullum
ball,1,10.4,Kolkata Knight Riders,JH Kallis,G Gambhir,DL Vettori,0,0,"",""
ball,1,10.5,Kolkata Knight Riders,JH Kallis,G Gambhir,DL Vettori,1,0,"",""
ball,1,10.6,Kolkata Knight Riders,G Gambhir,JH Kallis,DL Vettori,0,0,"",""
ball,1,11.1,Kolkata Knight Riders,JH Kallis,G Gambhir,KP Appanna,1,0,"",""
ball,1,11.2,Kolkata Knight Riders,G Gambhir,JH Kallis,KP Appanna,2,0,"",""
ball,1,11.3,Kolkata Knight Riders,G Gambhir,JH Kallis,KP Appanna,1,0,"",""
ball,1,11.4,Kolkata Knight Riders,JH Kallis,G Gambhir,KP Appanna,1,0,"",""
ball,1,11.5,Kolkata Knight Riders,G Gambhir,JH Kallis,KP Appanna,6,0,"",""
ball,1,11.6,Kolkata Knight Riders,G Gambhir,JH Kallis,KP Appanna,0,0,"",""
ball,1,12.1,Kolkata Knight Riders,JH Kallis,G Gambhir,TM Dilshan,1,0,"",""
ball,1,12.2,Kolkata Knight Riders,G Gambhir,JH Kallis,TM Dilshan,1,0,"",""
ball,1,12.3,Kolkata Knight Riders,JH Kallis,G Gambhir,TM Dilshan,1,0,"",""
ball,1,12.4,Kolkata Knight Riders,G Gambhir,JH Kallis,TM Dilshan,4,0,"",""
ball,1,12.5,Kolkata Knight Riders,G Gambhir,JH Kallis,TM Dilshan,1,0,"",""
ball,1,12.6,Kolkata Knight Riders,JH Kallis,G Gambhir,TM Dilshan,1,0,"",""
ball,1,13.1,Kolkata Knight Riders,JH Kallis,G Gambhir,HV Patel,1,0,"",""
ball,1,13.2,Kolkata Knight Riders,G Gambhir,JH Kallis,HV Patel,0,0,"",""
ball,1,13.3,Kolkata Knight Riders,G Gambhir,JH Kallis,HV Patel,2,0,"",""
ball,1,13.4,Kolkata Knight Riders,G Gambhir,JH Kallis,HV Patel,1,0,"",""
ball,1,13.5,Kolkata Knight Riders,JH Kallis,G Gambhir,HV Patel,1,0,"",""
ball,1,13.6,Kolkata Knight Riders,G Gambhir,JH Kallis,HV Patel,0,0,"",""
ball,1,14.1,Kolkata Knight Riders,JH Kallis,G Gambhir,Z Khan,4,0,"",""
ball,1,14.2,Kolkata Knight Riders,JH Kallis,G Gambhir,Z Khan,1,0,"",""
ball,1,14.3,Kolkata Knight Riders,G Gambhir,JH Kallis,Z Khan,1,0,"",""
ball,1,14.4,Kolkata Knight Riders,JH Kallis,G Gambhir,Z Khan,0,0,"",""
ball,1,14.5,Kolkata Knight Riders,JH Kallis,G Gambhir,Z Khan,1,0,"",""
ball,1,14.6,Kolkata Knight Riders,G Gambhir,JH Kallis,Z Khan,6,0,"",""
ball,1,15.1,Kolkata Knight Riders,JH Kallis,G Gambhir,DL Vettori,1,0,"",""
ball,1,15.2,Kolkata Knight Riders,G Gambhir,JH Kallis,DL Vettori,1,0,"",""
ball,1,15.3,Kolkata Knight Riders,JH Kallis,G Gambhir,DL Vettori,1,0,"",""
ball,1,15.4,Kolkata Knight Riders,G Gambhir,JH Kallis,DL Vettori,6,0,"",""
ball,1,15.5,Kolkata Knight Riders,G Gambhir,JH Kallis,DL Vettori,1,0,"",""
ball,1,15.6,Kolkata Knight Riders,JH Kallis,G Gambhir,DL Vettori,0,0,"",""
