,balls,date,fours,oppo,runs,sixes,srate,venue
0,40,4 Oct 1996,6,v Sri Lanka,102,11,255.00,Nairobi (Gym)
1,9,6 Oct 1996,2,v South Africa,14,0,155.55,Nairobi (Gym)
2,17,30 Oct 1996,5,v Zimbabwe,28,0,164.70,Quetta
3,37,1 Nov 1996,8,v Zimbabwe,66,4,178.37,Lahore
4,1,3 Nov 1996,0,v Zimbabwe,0,0,0.00,Peshawar
5,11,8 Nov 1996,1,v Sri Lanka,7,0,63.63,Sharjah
6,18,10 Nov 1996,1,v New Zealand,20,1,111.11,Sharjah
7,8,13 Nov 1996,0,v New Zealand,3,0,37.50,Sharjah
8,16,15 Nov 1996,2,v New Zealand,21,1,131.25,Sharjah
9,8,4 Dec 1996,1,v New Zealand,16,1,200.00,Gujranwala
10,8,6 Dec 1996,0,v New Zealand,2,0,25.00,Sialkot
11,6,15 Dec 1996,0,v Australia,6,0,100.00,Adelaide
12,14,17 Dec 1996,0,v West Indies,3,0,21.42,Adelaide
13,27,1 Jan 1997,6,v Australia,34,0,125.92,Sydney
14,5,3 Jan 1997,0,v West Indies,2,0,40.00,Brisbane
15,12,7 Jan 1997,0,v Australia,3,0,25.00,Hobart
16,19,10 Jan 1997,2,v West Indies,29,2,152.63,Perth
17,43,16 Jan 1997,1,v Australia,29,0,67.44,Melbourne
18,54,18 Jan 1997,8,v West Indies,53,0,98.14,Sydney
19,7,20 Jan 1997,0,v West Indies,0,0,0.00,Melbourne
20,55,4 Apr 1997,4,v Sri Lanka,67,5,121.81,Sharjah
21,2,6 Apr 1997,0,v Zimbabwe,1,0,50.00,Sharjah
22,5,7 Apr 1997,1,v Sri Lanka,7,0,140.00,Sharjah
23,13,9 Apr 1997,0,v Zimbabwe,5,0,38.46,Sharjah
24,5,11 Apr 1997,0,v Sri Lanka,8,1,160.00,Sharjah
25,46,9 May 1997,4,v New Zealand,59,2,128.26,Mohali
26,29,12 May 1997,9,v Sri Lanka,52,2,179.31,Gwalior
27,6,21 May 1997,1,v India,5,0,83.33,Chennai
28,10,24 May 1997,2,v Sri Lanka,18,0,180.00,Mohali
29,14,27 May 1997,1,v Sri Lanka,17,1,121.42,Kolkata
30,12,14 Jul 1997,1,v Sri Lanka,16,1,133.33,Colombo (RPS)
31,1,16 Jul 1997,1,v Bangladesh,4,0,400.00,Colombo (RPS)
32,2,20 Jul 1997,0,v India,0,0,0.00,Colombo (SSC)
33,20,13 Sep 1997,2,v India,13,0,65.00,Toronto
34,4,14 Sep 1997,0,v India,0,0,0.00,Toronto
35,46,17 Sep 1997,7,v India,47,0,102.17,Toronto
36,38,18 Sep 1997,6,v India,44,0,115.78,Toronto
37,2,20 Sep 1997,0,v India,2,0,100.00,Toronto
38,30,21 Sep 1997,5,v India,39,2,130.00,Toronto
