,balls,date,fours,oppo,runs,sixes,srate,venue
0,67,3 Feb 2013,3,v West Indies,39,0,58.20,Perth
1,3,6 Feb 2013,0,v West Indies,2,0,66.66,Canberra
2,25,10 Feb 2013,2,v West Indies,31,0,124.00,Melbourne
3,42,8 Jun 2013,5,v England,54,1,128.57,Birmingham
4,12,12 Jun 2013,0,v New Zealand,6,0,50.00,Birmingham
5,14,17 Jun 2013,3,v Sri Lanka,17,0,121.42,The Oval
6,11,8 Sep 2013,2,v England,18,1,163.63,Manchester
7,3,14 Sep 2013,0,v England,1,0,33.33,Cardiff
8,19,16 Sep 2013,0,v England,10,0,52.63,Southampton
9,22,13 Oct 2013,0,v India,27,2,122.72,Pune
10,29,19 Oct 2013,2,v India,64,6,220.68,Mohali
11,29,23 Oct 2013,1,v India,23,0,79.31,Ranchi
12,73,2 Nov 2013,11,v India,116,6,158.90,Bangalore
13,47,17 Jan 2014,3,v England,69,5,146.80,Brisbane
14,11,24 Jan 2014,0,v England,2,0,18.18,Perth
15,27,26 Jan 2014,2,v England,27,0,100.00,Adelaide
16,5,25 Aug 2014,1,v Zimbabwe,5,0,100.00,Harare
17,13,27 Aug 2014,0,v South Africa,10,0,76.92,Harare
18,1,31 Aug 2014,0,v Zimbabwe,0,0,0.00,Harare
19,37,6 Sep 2014,4,v South Africa,39,0,105.40,Harare
20,20,7 Oct 2014,1,v Pakistan,11,0,55.00,Sharjah
21,37,10 Oct 2014,3,v Pakistan,26,0,70.27,Dubai (DSC)
22,42,12 Oct 2014,1,v Pakistan,33,1,78.57,Abu Dhabi
23,19,21 Nov 2014,6,v South Africa,34,0,178.94,Melbourne
24,5,23 Nov 2014,1,v South Africa,6,0,120.00,Sydney
25,4,16 Jan 2015,1,v England,6,0,150.00,Sydney
26,9,18 Jan 2015,2,v India,9,0,100.00,Melbourne
27,43,23 Jan 2015,4,v England,35,0,81.39,Hobart
28,24,1 Feb 2015,4,v England,50,4,208.33,Perth
29,6,4 Mar 2015,1,v Afghanistan,7,0,116.66,Perth
30,1,8 Mar 2015,0,v Sri Lanka,0,0,0.00,Sydney
31,6,14 Mar 2015,2,v Scotland,16,1,266.66,Hobart
32,12,26 Mar 2015,3,v India,21,1,175.00,Sydney
33,1,12 Jan 2016,0,v India,1,0,100.00,Perth
34,25,17 Jan 2016,1,v India,21,0,84.00,Melbourne
35,1,20 Jan 2016,0,v India,0,0,0.00,Canberra
36,3,23 Jan 2016,0,v India,1,0,33.33,Sydney
37,33,3 Feb 2016,6,v New Zealand,36,0,109.09,Auckland
38,1,11 Jun 2016,0,v South Africa,1,0,100.00,Basseterre
39,3,13 Jun 2016,0,v West Indies,4,0,133.33,Basseterre
40,7,21 Aug 2016,0,v Sri Lanka,5,0,71.42,Colombo (RPS)
41,19,24 Aug 2016,1,v Sri Lanka,13,0,68.42,Colombo (RPS)
42,13,28 Aug 2016,0,v Sri Lanka,4,0,30.76,Dambulla
43,14,4 Sep 2016,0,v Sri Lanka,8,0,57.14,Pallekele
44,13,9 Dec 2016,1,v New Zealand,13,0,100.00,Melbourne
