,balls,date,fours,oppo,runs,sixes,srate,venue
0,67,16 Mar 2012,5,v West Indies,48,0,71.64,Kingstown
1,26,18 Mar 2012,2,v West Indies,21,0,80.76,Kingstown
2,87,20 Mar 2012,1,v West Indies,59,1,67.81,Kingstown
3,36,23 Mar 2012,1,v West Indies,25,1,69.44,Gros Islet
4,22,25 Mar 2012,2,v West Indies,19,0,86.36,Gros Islet
5,38,29 Jun 2012,3,v England,29,0,76.31,Lord's
6,86,1 Jul 2012,7,v England,65,0,75.58,The Oval
7,10,7 Jul 2012,1,v England,9,0,90.00,Chester-le-Street
8,41,10 Jul 2012,3,v England,46,2,112.19,Manchester
9,16,25 Aug 2012,2,v Afghanistan,23,1,143.75,Sharjah
10,88,28 Aug 2012,1,v Pakistan,57,1,64.77,Sharjah
11,46,31 Aug 2012,3,v Pakistan,39,0,84.78,Abu Dhabi
12,6,3 Sep 2012,0,v Pakistan,1,0,16.66,Sharjah
13,79,11 Jan 2013,8,v Sri Lanka,89,1,112.65,Melbourne
14,46,13 Jan 2013,2,v Sri Lanka,26,1,56.52,Adelaide
15,1,18 Jan 2013,0,v Sri Lanka,0,0,0.00,Brisbane
16,39,20 Jan 2013,2,v Sri Lanka,22,0,56.41,Sydney
17,43,23 Jan 2013,1,v Sri Lanka,17,0,39.53,Hobart
18,110,3 Feb 2013,10,v West Indies,125,4,113.63,Perth
19,22,6 Feb 2013,6,v West Indies,44,1,200.00,Canberra
20,69,8 Jun 2013,2,v England,55,0,79.71,Birmingham
21,91,12 Jun 2013,5,v New Zealand,55,0,60.43,Birmingham
22,7,17 Jun 2013,0,v Sri Lanka,4,0,57.14,The Oval
23,7,3 Sep 2013,0,v Scotland,10,1,142.85,Edinburgh
24,67,8 Sep 2013,5,v England,82,4,122.38,Manchester
25,91,14 Sep 2013,5,v England,87,3,95.60,Cardiff
26,14,16 Sep 2013,0,v England,4,0,28.57,Southampton
27,82,13 Oct 2013,10,v India,85,0,103.65,Pune
28,50,16 Oct 2013,8,v India,92,5,184.00,Jaipur
29,60,19 Oct 2013,4,v India,43,1,71.66,Mohali
30,94,23 Oct 2013,7,v India,98,3,104.25,Ranchi
31,114,30 Oct 2013,13,v India,156,6,136.84,Nagpur
32,12,2 Nov 2013,0,v India,4,0,33.33,Bangalore
33,18,12 Jan 2014,1,v England,17,0,94.44,Melbourne
34,28,17 Jan 2014,0,v England,24,0,85.71,Brisbane
35,15,24 Jan 2014,1,v England,11,0,73.33,Perth
36,74,26 Jan 2014,4,v England,56,0,75.67,Adelaide
37,21,25 Aug 2014,1,v Zimbabwe,14,0,66.66,Harare
38,54,27 Aug 2014,3,v South Africa,66,3,122.22,Harare
39,5,31 Aug 2014,0,v Zimbabwe,1,0,20.00,Harare
40,35,2 Sep 2014,3,v South Africa,32,1,91.42,Harare
41,28,6 Sep 2014,0,v South Africa,12,0,42.85,Harare
42,24,7 Oct 2014,0,v Pakistan,18,1,75.00,Sharjah
43,68,10 Oct 2014,3,v Pakistan,28,0,41.17,Dubai (DSC)
44,3,12 Oct 2014,0,v Pakistan,0,0,0.00,Abu Dhabi
45,75,14 Nov 2014,3,v South Africa,70,3,93.33,Perth
46,45,16 Nov 2014,2,v South Africa,25,0,55.55,Perth
47,15,19 Nov 2014,0,v South Africa,12,0,80.00,Canberra
48,29,21 Nov 2014,0,v South Africa,16,0,55.17,Melbourne
49,7,23 Nov 2014,0,v South Africa,4,0,57.14,Sydney
50,25,16 Jan 2015,1,v England,10,0,40.00,Sydney
51,11,18 Jan 2015,0,v India,5,0,45.45,Melbourne
52,17,1 Feb 2015,0,v England,2,0,11.76,Perth
53,69,14 Feb 2015,3,v England,55,0,79.71,Melbourne
54,7,27 Aug 2015,0,v Ireland,1,0,14.28,Belfast
55,16,3 Sep 2015,1,v England,23,1,143.75,Southampton
