,balls,date,fours,oppo,runs,sixes,srate,venue
89,79,13 Mar 2010,4,v New Zealand,53,0,67.08,Wellington
90,15,17 Jun 2010,0,v Ireland,13,1,86.66,Dublin
91,26,22 Jun 2010,6,v England,32,0,123.07,Southampton
92,59,24 Jun 2010,8,v England,57,0,96.61,Cardiff
93,76,27 Jun 2010,5,v England,61,2,80.26,Manchester
94,54,30 Jun 2010,5,v England,41,1,75.92,The Oval
95,26,3 Jul 2010,3,v England,14,0,53.84,Lord's
96,20,3 Nov 2010,0,v Sri Lanka,10,0,50.00,Melbourne
97,44,5 Nov 2010,2,v Sri Lanka,40,1,90.90,Sydney
98,14,7 Nov 2010,1,v Sri Lanka,15,0,107.14,Brisbane
99,150,16 Jan 2011,12,v England,161,4,107.33,Melbourne
100,16,21 Jan 2011,1,v England,5,0,31.25,Hobart
101,7,23 Jan 2011,2,v England,9,0,128.57,Sydney
102,72,26 Jan 2011,5,v England,64,1,88.88,Adelaide
103,20,30 Jan 2011,2,v England,16,0,80.00,Brisbane
104,34,2 Feb 2011,8,v England,51,0,150.00,Sydney
105,92,21 Feb 2011,8,v Zimbabwe,79,1,85.86,Ahmedabad
106,61,25 Feb 2011,6,v New Zealand,62,1,101.63,Nagpur
107,17,13 Mar 2011,3,v Kenya,21,1,123.52,Bangalore
108,90,16 Mar 2011,9,v Canada,94,4,104.44,Bangalore
109,16,19 Mar 2011,1,v Pakistan,9,0,56.25,Colombo (RPS)
110,38,24 Mar 2011,5,v India,25,0,65.78,Ahmedabad
111,32,9 Apr 2011,3,v Bangladesh,37,2,115.62,Dhaka
112,96,11 Apr 2011,15,v Bangladesh,185,15,192.70,Dhaka
113,40,13 Apr 2011,11,v Bangladesh,72,3,180.00,Dhaka
114,51,10 Aug 2011,5,v Sri Lanka,69,6,135.29,Pallekele
115,51,14 Aug 2011,4,v Sri Lanka,43,1,84.31,Hambantota
116,8,16 Aug 2011,1,v Sri Lanka,5,0,62.50,Hambantota
117,15,20 Aug 2011,2,v Sri Lanka,12,0,80.00,Colombo (RPS)
118,84,22 Aug 2011,6,v Sri Lanka,56,1,66.66,Colombo (RPS)
119,10,23 Oct 2011,1,v South Africa,15,1,150.00,Port Elizabeth
120,46,28 Oct 2011,6,v South Africa,49,1,106.52,Durban
121,7,26 Feb 2012,0,v India,1,0,14.28,Sydney
122,83,2 Mar 2012,5,v Sri Lanka,65,0,78.31,Melbourne
123,25,4 Mar 2012,1,v Sri Lanka,21,0,84.00,Brisbane
124,34,6 Mar 2012,0,v Sri Lanka,15,0,44.11,Adelaide
125,18,8 Mar 2012,1,v Sri Lanka,19,1,105.55,Adelaide
126,23,16 Mar 2012,4,v West Indies,21,0,91.30,Kingstown
127,41,18 Mar 2012,1,v West Indies,25,1,60.97,Kingstown
128,14,20 Mar 2012,0,v West Indies,10,0,71.42,Kingstown
129,24,23 Mar 2012,2,v West Indies,28,2,116.66,Gros Islet
130,89,25 Mar 2012,4,v West Indies,66,1,74.15,Gros Islet
131,18,29 Jun 2012,1,v England,12,0,66.66,Lord's
132,80,1 Jul 2012,8,v England,66,0,82.50,The Oval
133,54,7 Jul 2012,2,v England,28,1,51.85,Chester-le-Street
134,111,6 Feb 2013,12,v West Indies,122,2,109.90,Canberra
135,84,8 Feb 2013,9,v West Indies,76,0,90.47,Sydney
136,1,10 Feb 2013,0,v West Indies,0,0,0.00,Melbourne
137,40,8 Jun 2013,1,v England,24,0,60.00,Birmingham
138,7,12 Jun 2013,1,v New Zealand,5,0,71.42,Birmingham
139,7,17 Jun 2013,1,v Sri Lanka,5,0,71.42,The Oval
140,24,3 Sep 2013,6,v Scotland,37,0,154.16,Edinburgh
141,51,8 Sep 2013,6,v England,38,1,74.50,Manchester
142,11,14 Sep 2013,1,v England,6,0,54.54,Cardiff
143,107,16 Sep 2013,12,v England,143,6,133.64,Southampton
144,4,13 Oct 2013,0,v India,2,0,50.00,Pune
145,53,16 Oct 2013,6,v India,59,3,111.32,Jaipur
146,17,19 Oct 2013,1,v India,11,0,64.70,Mohali
147,19,23 Oct 2013,3,v India,14,0,73.68,Ranchi
148,94,30 Oct 2013,13,v India,102,3,108.51,Nagpur
149,22,2 Nov 2013,2,v India,49,6,222.72,Bangalore
150,2,12 Jan 2014,0,v England,0,0,0.00,Melbourne
151,4,26 Jan 2014,0,v England,0,0,0.00,Adelaide
152,27,14 Nov 2014,1,v South Africa,13,0,48.14,Perth
153,26,16 Nov 2014,1,v South Africa,11,0,42.30,Perth
154,38,19 Nov 2014,4,v South Africa,40,1,105.26,Canberra
155,25,21 Nov 2014,2,v South Africa,19,0,76.00,Melbourne
156,93,23 Nov 2014,7,v South Africa,82,2,88.17,Sydney
157,20,16 Jan 2015,2,v England,16,0,80.00,Sydney
158,39,18 Jan 2015,5,v India,41,1,105.12,Melbourne
159,1,14 Feb 2015,0,v England,0,0,0.00,Melbourne
160,30,28 Feb 2015,2,v New Zealand,23,0,76.66,Auckland
161,41,8 Mar 2015,7,v Sri Lanka,67,2,163.41,Sydney
162,23,14 Mar 2015,4,v Scotland,24,0,104.34,Hobart
163,66,20 Mar 2015,7,v Pakistan,64,1,96.96,Adelaide
164,30,26 Mar 2015,2,v India,28,1,93.33,Sydney
165,5,29 Mar 2015,0,v New Zealand,2,0,40.00,Melbourne
166,25,27 Aug 2015,1,v Ireland,26,1,104.00,Belfast
167,11,3 Sep 2015,0,v England,6,0,54.54,Southampton
168,38,5 Sep 2015,1,v England,39,2,102.63,Lord's
