,balls,date,fours,oppo,runs,sixes,srate,venue
0,22,18 Aug 2008,1,v Sri Lanka,12,0,54.54,Dambulla
1,67,20 Aug 2008,6,v Sri Lanka,37,0,55.22,Dambulla
2,38,24 Aug 2008,4,v Sri Lanka,25,0,65.78,Colombo (RPS)
3,66,27 Aug 2008,7,v Sri Lanka,54,0,81.81,Colombo (RPS)
4,46,29 Aug 2008,3,v Sri Lanka,31,1,67.39,Colombo (RPS)
5,2,14 Sep 2009,0,v Sri Lanka,2,0,100.00,Colombo (RPS)
6,24,26 Sep 2009,1,v Pakistan,16,0,66.66,Centurion
7,104,30 Sep 2009,9,v West Indies,79,2,75.96,Johannesburg
8,41,25 Oct 2009,3,v Australia,30,0,73.17,Vadodara
9,16,2 Nov 2009,1,v Australia,10,0,62.50,Mohali
10,19,15 Dec 2009,4,v Sri Lanka,27,0,142.10,Rajkot
11,65,18 Dec 2009,7,v Sri Lanka,54,0,83.07,Nagpur
12,114,24 Dec 2009,11,v Sri Lanka,107,1,93.85,Kolkata
13,12,5 Jan 2010,1,v Sri Lanka,9,0,75.00,Dhaka
14,102,7 Jan 2010,7,v Bangladesh,91,0,89.21,Dhaka
15,68,10 Jan 2010,9,v Sri Lanka,71,0,104.41,Dhaka
16,95,11 Jan 2010,11,v Bangladesh,102,0,107.36,Dhaka
17,8,13 Jan 2010,0,v Sri Lanka,2,0,25.00,Dhaka
18,46,21 Feb 2010,1,v South Africa,31,0,67.39,Jaipur
19,71,27 Feb 2010,4,v South Africa,57,1,80.28,Ahmedabad
20,0,28 May 2010,0,v Zimbabwe,0,0,-,Bulawayo
21,92,30 May 2010,4,v Sri Lanka,82,0,89.13,Bulawayo
22,29,3 Jun 2010,1,v Zimbabwe,18,0,62.06,Harare
23,95,5 Jun 2010,5,v Sri Lanka,68,0,71.57,Harare
24,22,16 Jun 2010,0,v Bangladesh,11,0,50.00,Dambulla
25,27,19 Jun 2010,1,v Pakistan,18,0,66.66,Dambulla
26,14,22 Jun 2010,1,v Sri Lanka,10,0,71.42,Dambulla
27,34,24 Jun 2010,4,v Sri Lanka,28,0,82.35,Dambulla
28,3,16 Aug 2010,0,v Sri Lanka,0,0,0.00,Dambulla
29,16,25 Aug 2010,1,v New Zealand,8,0,50.00,Dambulla
30,57,28 Aug 2010,5,v Sri Lanka,37,0,64.91,Dambulla
31,121,20 Oct 2010,11,v Australia,118,1,97.52,Visakhapatnam
32,104,28 Nov 2010,10,v New Zealand,105,0,100.96,Guwahati
33,73,1 Dec 2010,8,v New Zealand,64,0,87.67,Jaipur
34,70,4 Dec 2010,6,v New Zealand,63,2,90.00,Vadodara
