,balls,date,fours,oppo,runs,sixes,srate,venue
0,18,3 Apr 2003,2,v Zimbabwe,12,0,66.66,Sharjah
1,103,4 Apr 2003,3,v Sri Lanka,50,0,48.54,Sharjah
2,58,8 Apr 2003,4,v Kenya,36,1,62.06,Sharjah
3,9,10 Apr 2003,0,v Zimbabwe,2,0,22.22,Sharjah
4,114,10 May 2003,2,v Sri Lanka,53,0,46.49,Dambulla
5,4,11 May 2003,0,v New Zealand,0,0,0.00,Dambulla
6,38,18 May 2003,1,v Sri Lanka,20,1,52.63,Dambulla
7,11,20 May 2003,0,v New Zealand,3,0,27.27,Dambulla
8,4,23 May 2003,0,v New Zealand,0,0,0.00,Dambulla
9,112,17 Jun 2003,8,v England,69,0,61.60,Manchester
10,27,20 Jun 2003,2,v England,14,0,51.85,The Oval
11,41,22 Jun 2003,3,v England,19,0,46.34,Lord's
12,31,9 Sep 2003,6,v Bangladesh,27,0,87.09,Multan
13,36,12 Sep 2003,4,v Bangladesh,26,0,72.22,Faisalabad
14,17,15 Sep 2003,0,v Bangladesh,2,0,11.76,Lahore
15,25,18 Sep 2003,2,v Bangladesh,9,0,36.00,Rawalpindi
16,64,21 Sep 2003,7,v Bangladesh,44,0,68.75,Karachi
17,17,3 Oct 2003,1,v South Africa,5,0,29.41,Lahore
18,19,5 Oct 2003,1,v South Africa,7,0,36.84,Lahore
19,42,7 Oct 2003,3,v South Africa,20,0,47.61,Faisalabad
20,20,10 Oct 2003,0,v South Africa,1,0,5.00,Rawalpindi
21,2,12 Oct 2003,0,v South Africa,0,0,0.00,Rawalpindi
22,9,16 Jan 2005,0,v Australia,0,0,0.00,Hobart
23,9,19 Jan 2005,0,v West Indies,2,0,22.22,Brisbane
24,36,23 Jan 2005,0,v Australia,13,0,36.11,Sydney
25,41,28 Jan 2005,6,v West Indies,41,0,100.00,Adelaide
26,39,4 Feb 2005,2,v Australia,13,0,33.33,Melbourne
27,25,6 Feb 2005,1,v Australia,6,0,24.00,Sydney
28,75,2 Apr 2005,1,v India,42,2,56.00,Kochi
29,7,5 Apr 2005,1,v India,7,0,100.00,Visakhapatnam
30,23,30 Aug 2006,3,v England,18,0,78.26,Cardiff
31,5,2 Sep 2006,0,v England,1,0,20.00,Lord's
32,19,5 Sep 2006,2,v England,20,1,105.26,Southampton
33,8,8 Sep 2006,2,v England,8,0,100.00,Nottingham
34,43,10 Sep 2006,3,v England,18,0,41.86,Birmingham
35,15,17 Oct 2006,3,v Sri Lanka,22,0,146.66,Jaipur
36,46,25 Oct 2006,8,v New Zealand,43,0,93.47,Mohali
37,5,27 Oct 2006,0,v South Africa,1,0,20.00,Mohali
38,1,7 Dec 2006,0,v West Indies,0,0,0.00,Faisalabad
39,43,10 Dec 2006,2,v West Indies,31,1,72.09,Lahore
40,7,13 Dec 2006,0,v West Indies,1,0,14.28,Multan
41,111,16 Dec 2006,5,v West Indies,92,2,82.88,Karachi
42,17,4 Feb 2007,3,v South Africa,21,0,123.52,Centurion
43,6,14 Feb 2007,0,v South Africa,0,0,0.00,Johannesburg
44,28,13 Mar 2007,2,v West Indies,11,0,39.28,Kingston
45,6,17 Mar 2007,1,v Ireland,4,0,66.66,Kingston
46,43,22 May 2007,7,v Sri Lanka,34,0,79.06,Abu Dhabi
47,24,18 Oct 2007,0,v South Africa,6,0,25.00,Lahore
48,42,10 Sep 2010,4,v England,30,0,71.42,Chester-le-Street
49,68,12 Sep 2010,5,v England,43,0,63.23,Leeds
50,3,17 Sep 2010,0,v England,1,0,33.33,The Oval
51,100,20 Sep 2010,5,v England,64,1,64.00,Lord's
52,42,22 Sep 2010,5,v England,29,0,69.04,Southampton
53,84,29 Oct 2010,7,v South Africa,68,0,80.95,Abu Dhabi
54,42,31 Oct 2010,3,v South Africa,30,0,71.42,Abu Dhabi
55,15,2 Nov 2010,0,v South Africa,4,0,26.66,Dubai (DSC)
56,29,5 Nov 2010,5,v South Africa,42,0,144.82,Dubai (DSC)
57,58,8 Nov 2010,7,v South Africa,59,0,101.72,Dubai (DSC)
58,9,22 Jan 2011,0,v New Zealand,0,0,0.00,Wellington
59,11,26 Jan 2011,0,v New Zealand,4,0,36.36,Queenstown
60,144,29 Jan 2011,12,v New Zealand,115,2,79.86,Christchurch
61,23,1 Feb 2011,2,v New Zealand,12,0,52.17,Napier
62,20,3 Feb 2011,2,v New Zealand,14,0,70.00,Hamilton
