,date,runs,balls
0,2013-02-17,22,38
1,2013-02-20,100,117
2,2013-02-23,28,52
3,2013-02-26,75,79
4,2013-02-28,61,67
5,2013-05-31,54,77
6,2013-06-02,60,54
7,2013-06-05,71,84
8,2013-06-09,0,4
9,2013-06-12,9,23
10,2013-06-16,3,6
11,2013-10-29,8,14
12,2013-10-31,45,82
13,2013-11-03,107,93
14,2013-12-26,3,10
15,2014-01-01,9,8
16,2014-01-04,49,44
17,2014-01-08,9,15
18,2014-01-19,55,82
19,2014-01-22,57,56
20,2014-01-25,17,18
21,2014-01-28,112,127
22,2014-01-31,102,106
