,date,runs,balls
0,2010-01-22, , 
1,2010-01-24, , 
2,2010-01-26, , 
3,2010-02-07, , 
4,2010-02-09, , 
5,2010-02-12,0,0
6,2010-02-14, , 
7,2010-02-19, , 
8,2010-03-03, , 
9,2010-03-06, , 
10,2010-03-09, , 
11,2010-03-11, , 
12,2010-03-13,1,2
13,2010-06-17, , 
14,2010-06-19, , 
15,2010-06-22, , 
16,2010-06-24, , 
17,2010-06-27,3,3
18,2010-06-30, , 
19,2010-07-03, , 
20,2010-12-12, , 
21,2010-12-23, , 
