,date,runs,balls
0,2012-06-30,27,13
1,2012-08-12, , 
2,2012-08-17,26,19
3,2012-08-19,0,6
4,2012-08-27,15,7
5,2012-08-28,41,17
6,2012-08-31, , 
7,2012-09-11,18,9
8,2012-09-21, , 
9,2012-09-23,11,7
10,2012-09-27,6,6
11,2012-10-01,6,9
12,2012-10-09,8,5
13,2012-10-11, , 
14,2012-10-30,10,9
15,2013-01-15,4,6
16,2013-01-19,1,5
17,2013-01-22,12,10
18,2013-01-24,18,16
19,2013-01-28,13,12
20,2013-02-02,1,2
