,date,runs,balls
0,2012-02-11,14,11
1,2012-02-22,53,70
2,2012-09-16,29,26
3,2012-09-28,42,31
4,2012-11-07,8,11
5,2012-11-17,14,10
6,2012-12-01,20,38
7,2013-01-30,0,1
8,2013-02-02, , 
