,date,runs,balls
0,2012-11-02,19,31
1,2012-11-07,34,40
2,2012-11-09,28,38
3,2012-11-11,20,20
4,2012-11-16,33,32
5,2012-11-21, , 
6,2012-11-23,115,83
7,2012-11-25,10,12
8,2012-12-02,3,5
9,2012-12-14, , 
10,2012-12-15,41,38
11,2013-01-19,18,34
12,2013-01-22,25,28
13,2013-01-25,31,38
