,date,runs,balls
0,2014-03-12, , 
1,2014-03-14, , 
2,2014-03-23,3,3
3,2014-07-17,6,6
4,2014-07-19, , 
5,2014-07-20,2,1
6,2014-07-25,3,5
7,2014-07-31,8,6
8,2014-08-03, , 
9,2014-08-07, , 
10,2014-08-09, , 
11,2014-09-20, , 
12,2014-09-24, , 
13,2014-09-27, , 
14,2014-09-30,28,19
15,2015-01-06, , 
16,2015-01-08, , 
17,2015-01-11, , 
18,2015-01-21, , 
19,2015-01-25, , 
20,2015-01-28, , 
