,date,runs,balls
0,2010-03-05,0,0
1,2010-03-18,2,9
2,2010-04-05,7,7
3,2010-05-02, , 
4,2010-05-05, , 
5,2010-05-06, , 
6,2010-05-08,1,2
7,2010-05-20, , 
8,2010-10-08, , 
9,2010-10-26, , 
10,2010-10-27, , 
