,date,runs,balls
0,2014-03-21,1,2
1,2014-03-23,10,19
2,2014-03-28, , 
3,2014-03-30,60,43
4,2014-04-04,18,17
5,2014-04-06,11,21
6,2014-04-17,52,29
7,2014-04-19,0,2
8,2014-04-24,31,34
9,2014-04-26,3,7
10,2014-04-28,35,32
11,2014-05-04,14,16
12,2014-05-06,6,10
13,2014-05-09,3,11
14,2014-05-11,83,38
15,2014-05-13,68,29
16,2014-05-18,13,9
17,2014-05-20,21,25
18,2014-05-22,22,12
19,2014-05-24,25,24
