,date,runs,balls
0,2016-07-02, , 
1,2016-07-04, , 
2,2016-07-07,4,2
3,2016-07-11, , 
4,2016-07-15, , 
5,2016-07-16, , 
6,2016-07-18, , 
7,2016-07-20, , 
8,2016-07-30,3,5
9,2016-07-31, , 
10,2016-08-03, , 
11,2016-08-05, , 
12,2016-08-07, , 
13,2016-09-27, , 
14,2016-11-13, , 
15,2016-12-03, , 
16,2016-12-06, , 
17,2016-12-07, , 
18,2016-12-09,4,2
