,date,runs,balls
0,2010-03-19, , 
1,2010-03-25, , 
2,2010-03-28, , 
3,2010-10-20, , 
4,2010-10-21, , 
5,2010-10-22, , 
6,2010-10-24,4,3
7,2010-10-25,18,21
